row_index,gene_id,gene_symbol,uniprot_accession,label,sequence_clean_length,n_windows,window_size,stride,representation
218,ENSG00000182463,TSHZ2,Q9NRE2,1,1034,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
219,ENSG00000141452,RMC1,Q96DM3,1,657,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
220,ENSG00000284791,SMIM41,A0A2R8YCJ5,0,93,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
221,ENSG00000122679,RAMP3,O60896,1,148,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
222,ENSG00000088930,XRN2,Q9H0D6,0,950,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
223,ENSG00000135837,CEP350,Q5VT06,0,3117,4,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
224,ENSG00000033030,ZCCHC8,Q6NZY4,0,707,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
225,ENSG00000138286,FAM149B1,Q96BN6,0,582,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
226,ENSG00000166928,MS4A14,Q96JA4,0,679,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
227,ENSG00000145888,GLRA1,P23415,1,457,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
228,ENSG00000143776,CDC42BPA,Q5VT25,1,1732,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
229,ENSG00000169856,ONECUT1,Q9UBC0,1,465,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
230,ENSG00000145780,FEM1C,Q96JP0,0,617,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
231,ENSG00000137309,HMGA1,P17096,1,107,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
232,ENSG00000077063,CTTNBP2,Q8WZ74,1,1663,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
233,ENSG00000100461,RBM23,Q86U06,0,439,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
234,ENSG00000143869,GDF7,Q7Z4P5,1,450,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
235,ENSG00000113231,PDE8B,O95263,1,885,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
236,ENSG00000145247,OCIAD2,Q56VL3,1,154,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
237,ENSG00000131732,ZCCHC9,Q8N567,0,271,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
238,ENSG00000125815,CST8,O60676,0,142,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
239,ENSG00000101096,NFATC2,Q13469,1,925,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
240,ENSG00000205359,SLCO6A1,Q86UG4,1,719,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
241,ENSG00000133943,DGLUCY,Q7Z3D6,0,616,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
242,ENSG00000273820,USP27X,A6NNY8,0,438,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
243,ENSG00000060749,QSER1,Q2KHR3,1,1735,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
244,ENSG00000154822,PLCL2,Q9UPR0,1,1127,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
245,ENSG00000166004,CEP295,Q9C0D2,0,2601,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
246,ENSG00000073849,ST6GAL1,P15907,1,406,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
247,ENSG00000174791,RIN1,Q13671,0,783,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
248,ENSG00000214279,SCART1,Q4G0T1,0,1027,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
249,ENSG00000126860,EVI2A,P22794,1,236,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
250,ENSG00000065371,ROPN1,Q9HAT0,0,212,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
251,ENSG00000087589,CASS4,Q9NQ75,0,786,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
252,ENSG00000086475,SEPHS1,P49903,0,392,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
253,ENSG00000197386,HTT,P42858,1,3142,4,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
254,ENSG00000043143,JADE2,Q9NQC1,1,790,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
255,ENSG00000180257,ZNF816,Q0VGE8,0,651,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
256,ENSG00000171105,INSR,P06213,1,1382,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
257,ENSG00000079689,SCGN,O76038,1,276,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
258,ENSG00000198945,L3MBTL3,Q96JM7,1,780,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
259,ENSG00000151136,ABTB3,A6QL63,0,1104,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
260,ENSG00000141219,MTNAP1,Q9BSJ5,0,609,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
261,ENSG00000151320,AKAP6,Q13023,1,2319,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
262,ENSG00000145194,ECE2,P0DPD6,1,811,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
263,ENSG00000276950,GSTT4,A0A1W2PR19,0,241,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
264,ENSG00000196663,TECPR2,O15040,0,1411,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
265,ENSG00000115020,PIKFYVE,Q9Y2I7,0,2098,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
266,ENSG00000198947,DMD,P11532,1,3685,4,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
267,ENSG00000142327,RNPEPL1,Q9HAU8,0,725,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
268,ENSG00000067177,PHKA1,P46020,0,1223,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
269,ENSG00000167792,NDUFV1,P49821,1,464,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
270,ENSG00000020633,RUNX3,Q13761,1,415,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
271,ENSG00000163633,C4orf36,Q96KX1,0,117,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
272,ENSG00000197467,COL13A1,Q5TAT6,1,717,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
273,ENSG00000143126,CELSR2,Q9HCU4,1,2923,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
274,ENSG00000197893,NRAP,Q86VF7,0,1730,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
275,ENSG00000069998,HDHD5,Q9BXW7,0,423,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
276,ENSG00000112773,TENT5A,Q96IP4,0,442,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
277,ENSG00000169515,CCDC8,Q9H0W5,0,538,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
278,ENSG00000148655,LRMDA,Q9H2I8,1,198,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
279,ENSG00000038219,BOD1L1,Q8NFC6,0,3051,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
280,ENSG00000119977,TCTN3,Q6NUS6,0,607,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
281,ENSG00000137073,UBAP2,Q5T6F2,1,1119,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
282,ENSG00000176853,FAM91A1,Q658Y4,0,838,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
283,ENSG00000149295,DRD2,P14416,1,443,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
284,ENSG00000198718,TOGARAM1,Q9Y4F4,0,1720,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
285,ENSG00000157212,PAXIP1,Q6ZW49,0,1069,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
286,ENSG00000177144,NUDT4B,A0A024RBG1,0,181,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
287,ENSG00000170214,ADRA1B,P35368,1,520,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
288,ENSG00000205409,OR52E6,Q96RD3,0,313,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
289,ENSG00000158125,XDH,P47989,1,1333,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
290,ENSG00000136122,BORA,Q6PGQ7,0,559,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
291,ENSG00000168056,LTBP3,Q9NS15,1,1303,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
292,ENSG00000107443,CCNJ,Q5T5M9,0,372,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
293,ENSG00000218891,ZNF579,Q8NAF0,0,562,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
294,ENSG00000196504,PRPF40A,O75400,1,957,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
295,ENSG00000161040,FBXL13,Q8NEE6,1,735,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
296,ENSG00000100167,SEPTIN3,Q9UH03,0,358,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
297,ENSG00000070610,GBA2,Q9HCG7,1,927,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
298,ENSG00000011275,RNF216,Q9NWF9,0,866,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
299,ENSG00000131477,RAMP2,O60895,1,175,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
300,ENSG00000055163,CYFIP2,Q96F07,0,1278,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
301,ENSG00000107679,PLEKHA1,Q9HB21,1,404,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
302,ENSG00000120278,PLEKHG1,Q9ULL1,1,1385,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
303,ENSG00000196511,TPK1,Q9H3S4,0,243,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
304,ENSG00000120690,ELF1,P32519,1,619,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
305,ENSG00000083817,ZNF416,Q9BWM5,0,594,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
306,ENSG00000229924,FAM90A26,D6RGX4,0,464,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
307,ENSG00000177054,ZDHHC13,Q8IUH4,0,622,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
308,ENSG00000154415,PPP1R3A,Q16821,1,1122,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
309,ENSG00000101901,ALG13,Q9NP73,0,1137,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
310,ENSG00000112699,GMDS,O60547,1,372,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
311,ENSG00000196628,TCF4,P15884,1,667,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
312,ENSG00000100346,CACNA1I,Q9P0X4,0,2223,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
313,ENSG00000101057,MYBL2,P10244,1,700,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
314,ENSG00000124783,SSR1,P43307,1,286,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
315,ENSG00000064687,ABCA7,Q8IZY2,0,2146,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
316,ENSG00000132205,EMILIN2,Q9BXX0,1,1053,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
317,ENSG00000169507,SLC38A11,Q08AI6,1,406,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
318,ENSG00000078269,SYNJ2,O15056,0,1496,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
319,ENSG00000136444,RSAD1,Q9HA92,0,442,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
320,ENSG00000148513,ANKRD30A,Q9BXX3,0,1397,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
321,ENSG00000166136,NDUFB8,O95169,1,186,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
322,ENSG00000105717,PBX4,Q9BYU1,0,374,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
323,ENSG00000159337,PLA2G4D,Q86XP0,0,818,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
324,ENSG00000143515,ATP8B2,P98198,1,1209,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
325,ENSG00000127324,TSPAN8,P19075,1,237,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
326,ENSG00000104324,CPQ,Q9Y646,1,472,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
327,ENSG00000065802,ASB1,Q9Y576,0,335,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
328,ENSG00000184305,CCSER1,Q9C0I3,1,900,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
329,ENSG00000065518,NDUFB4,O95168,1,129,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
330,ENSG00000196182,STK40,Q8N2I9,0,435,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
331,ENSG00000174306,ZHX3,Q9H4I2,1,956,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
332,ENSG00000129295,DNAAF11,Q86X45,0,466,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
333,ENSG00000153989,NUS1,Q96E22,1,293,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
334,ENSG00000185774,KCNIP4,Q6PIL6,0,250,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
335,ENSG00000108255,CRYBA1,P05813,1,215,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
336,ENSG00000144736,SHQ1,Q6PI26,1,577,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
337,ENSG00000159164,SV2A,Q7L0J3,1,742,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
338,ENSG00000177614,PGBD5,Q8N414,0,524,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
339,ENSG00000064313,TAF2,Q6P1X5,0,1199,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
340,ENSG00000075461,CACNG4,Q9UBN1,0,327,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
341,ENSG00000188152,NUTM2G,Q5VZR2,0,741,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
342,ENSG00000090621,PABPC4,Q13310,1,644,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
343,ENSG00000167984,NLRC3,Q7RTR2,1,1065,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
344,ENSG00000112715,VEGFA,P15692,1,395,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
345,ENSG00000166226,CCT2,P78371,0,535,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
346,ENSG00000106636,YKT6,O15498,1,198,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
347,ENSG00000274749,KRTAP7-1,Q8IUC3,0,87,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
348,ENSG00000111276,CDKN1B,P46527,1,198,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
349,ENSG00000119718,EIF2B2,P49770,0,351,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
350,ENSG00000147123,NDUFB11,Q9NX14,1,153,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
351,ENSG00000173542,MOB1B,Q7L9L4,1,216,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
352,ENSG00000163281,GNPDA2,Q8TDQ7,1,276,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
353,ENSG00000041353,RAB27B,O00194,0,218,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
354,ENSG00000078898,BPIFB2,Q8N4F0,0,458,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
355,ENSG00000166949,SMAD3,P84022,1,425,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
356,ENSG00000083838,ZNF446,Q9NWS9,0,450,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
357,ENSG00000101084,RAB5IF,Q9BUV8,0,137,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
358,ENSG00000065183,WDR3,Q9UNX4,0,943,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
359,ENSG00000119772,DNMT3A,Q9Y6K1,1,912,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
360,ENSG00000166603,MC4R,P32245,1,332,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
361,ENSG00000149313,AASDHPPT,Q9NRN7,0,309,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
362,ENSG00000130561,SAG,P10523,1,405,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
363,ENSG00000132141,CCT6B,Q92526,0,530,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
364,ENSG00000092208,GEMIN2,O14893,0,280,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
365,ENSG00000240857,RDH14,Q9HBH5,1,336,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
366,ENSG00000257335,MGAM,O43451,1,2753,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
367,ENSG00000197872,CYRIA,Q9H0Q0,1,323,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
368,ENSG00000156853,ZNF689,Q96CS4,0,500,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
369,ENSG00000182993,C12orf60,Q5U649,0,245,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
370,ENSG00000145494,NDUFS6,O75380,1,124,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
371,ENSG00000123610,TNFAIP6,P98066,1,277,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
372,ENSG00000152620,NADK2,Q4G0N4,1,442,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
373,ENSG00000137575,SDCBP,O00560,0,298,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
374,ENSG00000232040,SCAND3,Q6R2W3,0,1325,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
375,ENSG00000182923,CEP63,Q96MT8,0,703,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
376,ENSG00000144747,TMF1,P82094,0,1093,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
377,ENSG00000184185,KCNJ12,Q14500,1,433,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
378,ENSG00000053747,LAMA3,Q16787,0,3333,4,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
379,ENSG00000139344,AMDHD1,Q96NU7,0,426,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
380,ENSG00000066923,STAG3,Q9UJ98,0,1225,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
381,ENSG00000144231,POLR2D,O15514,0,142,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
382,ENSG00000149115,TNKS1BP1,Q9C0C2,0,1729,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
383,ENSG00000161944,ASGR2,P07307,0,311,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
384,ENSG00000141338,ABCA8,O94911,0,1621,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
385,ENSG00000143337,TOR1AIP1,Q5JTV8,0,583,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
386,ENSG00000134461,ANKRD16,Q6P6B7,0,361,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
387,ENSG00000186009,ATP4B,P51164,1,291,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
388,ENSG00000110244,APOA4,P06727,1,396,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
389,ENSG00000004059,ARF5,P84085,1,180,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
390,ENSG00000157445,CACNA2D3,Q8IZS8,1,1091,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
391,ENSG00000134824,FADS2,O95864,1,444,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
392,ENSG00000256269,HMBS,P08397,1,361,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
393,ENSG00000136158,SPRY2,O43597,1,315,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
394,ENSG00000164151,ICE1,Q9Y2F5,0,2266,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
395,ENSG00000138435,CHRNA1,P02708,0,457,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
396,ENSG00000175806,MSRA,Q9UJ68,1,235,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
397,ENSG00000149294,NCAM1,P13591,1,858,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
398,ENSG00000180053,NKX2-6,A6NCS4,1,301,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
399,ENSG00000163608,NEPRO,Q6NW34,0,567,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
400,ENSG00000109670,FBXW7,Q969H0,1,707,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
401,ENSG00000122550,KLHL7,Q8IXQ5,0,586,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
402,ENSG00000108387,SEPTIN4,O43236,0,996,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
403,ENSG00000152804,HHEX,Q03014,1,270,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
404,ENSG00000130414,NDUFA10,O95299,1,355,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
405,ENSG00000157322,CLEC18A,A5D8T8,0,446,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
406,ENSG00000004779,NDUFAB1,O14561,1,156,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
407,ENSG00000085832,EPS15,P42566,0,896,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
408,ENSG00000184588,PDE4B,Q07343,1,736,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
409,ENSG00000197594,ENPP1,P22413,1,925,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
410,ENSG00000164796,CSMD3,Q7Z407,0,3707,4,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
411,ENSG00000186517,ARHGAP30,Q7Z6I6,0,1101,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
412,ENSG00000181378,CFAP65,Q6ZU64,0,1925,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
413,ENSG00000064726,BTBD1,Q9H0C5,1,482,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
414,ENSG00000116273,PHF13,Q86YI8,1,300,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
415,ENSG00000151967,SCHIP1,P0DPB3,0,487,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
416,ENSG00000119913,TECTB,Q96PL2,0,329,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
417,ENSG00000095951,HIVEP1,P15822,0,2718,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
418,ENSG00000162924,REL,Q04864,1,619,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
419,ENSG00000135314,KHDC1,Q4VXA5,0,237,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
420,ENSG00000172673,THEMIS,Q8N1K5,1,641,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
421,ENSG00000118520,ARG1,P05089,1,322,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
422,ENSG00000164916,FOXK1,P85037,1,733,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
423,ENSG00000125450,NUP85,Q9BW27,0,656,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
424,ENSG00000152580,IGSF10,Q6WRI0,0,2623,3,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
425,ENSG00000242498,ARPIN,Q7Z6K5,1,226,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
426,ENSG00000188060,RAB42,Q8N4Z0,0,218,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
427,ENSG00000205356,TECPR1,Q7Z6L1,1,1165,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
428,ENSG00000134363,FST,P19883,1,344,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
429,ENSG00000153815,CMIP,Q8IY22,1,773,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
430,ENSG00000215817,ZC3H11B,A0A1B0GTU1,1,805,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
431,ENSG00000006071,ABCC8,Q09428,1,1581,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
432,ENSG00000125538,IL1B,P01584,1,269,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
433,ENSG00000100883,SRP54,P61011,1,504,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
434,ENSG00000006704,GTF2IRD1,Q9UHL9,1,959,1,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
435,ENSG00000077044,DGKD,Q16760,1,1214,2,1022,1022,ProtBERT_sliding_window_mean_pool_1022_stride_1022
