gene_symbol_upper,handcrafted_rank,dnabert2_rank,rank_delta_dnabert2_minus_handcrafted,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,gene_id,gene_symbol,true_label,rank_improvement_by_dnabert2,top50_membership,top100_membership,rank_shift_category,rank_direction,abs_rank_shift,abs_score_shift
DPP4,39,57,18,0.7289,0.6765,-0.0524,ENSG00000197635,DPP4,1,-18,moved_out_from_handcrafted,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,18,0.0524
SH2B3,165,182,17,0.3933,0.3833,-0.01,ENSG00000111252,SH2B3,1,-17,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,17,0.01
AVEN,216,233,17,0.2977,0.2746,-0.0232,ENSG00000169857,AVEN,0,-17,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,17,0.0232
FAM200B,205,222,17,0.319,0.2888,-0.0302,ENSG00000237765,FAM200B,0,-17,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,17,0.0302
SUGP2,225,208,-17,0.2804,0.3116,0.0313,ENSG00000064607,SUGP2,0,17,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,17,0.0313
GTF2IRD2,227,211,-16,0.2781,0.3075,0.0294,ENSG00000196275,GTF2IRD2,1,16,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,16,0.0294
PARD3B,158,142,-16,0.4135,0.4581,0.0446,ENSG00000116117,PARD3B,1,16,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,16,0.0446
OSBPL5,176,192,16,0.3732,0.3653,-0.0078,ENSG00000021762,OSBPL5,0,-16,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,16,0.0078
GCAT,111,127,16,0.5605,0.5111,-0.0494,ENSG00000100116,GCAT,0,-16,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,16,0.0494
TSSK2,156,172,16,0.4153,0.3953,-0.0201,ENSG00000206203,TSSK2,0,-16,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,16,0.0201
LPA,191,207,16,0.3413,0.3146,-0.0267,ENSG00000198670,LPA,1,-16,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,16,0.0267
MAML2,72,87,15,0.6573,0.6305,-0.0268,ENSG00000184384,MAML2,1,-15,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,15,0.0268
KRTAP7-1,184,199,15,0.3582,0.3487,-0.0094,ENSG00000274749,KRTAP7-1,0,-15,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,15,0.0094
NDUFB2,3,18,15,0.8312,0.7672,-0.0639,ENSG00000090266,NDUFB2,1,-15,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,15,0.0639
TCEANC2,246,261,15,0.2305,0.1984,-0.032,ENSG00000116205,TCEANC2,0,-15,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,15,0.032
CPEB3,8,23,15,0.8088,0.759,-0.0498,ENSG00000107864,CPEB3,1,-15,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,15,0.0498
SIGLEC9,252,237,-15,0.2149,0.2609,0.046,ENSG00000129450,SIGLEC9,0,15,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,15,0.046
BICDL2,249,235,-14,0.219,0.2657,0.0467,ENSG00000162069,BICDL2,0,14,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,14,0.0467
NUP85,230,216,-14,0.2736,0.2963,0.0228,ENSG00000125450,NUP85,0,14,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,14,0.0228
RAB42,228,214,-14,0.2759,0.3036,0.0277,ENSG00000188060,RAB42,0,14,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,14,0.0277
ZKSCAN4,255,241,-14,0.2022,0.2519,0.0497,ENSG00000187626,ZKSCAN4,0,14,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,14,0.0497
CT45A1,175,189,14,0.3757,0.3671,-0.0086,ENSG00000268940,CT45A1,0,-14,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,14,0.0086
ISL1,28,42,14,0.7614,0.7142,-0.0472,ENSG00000016082,ISL1,1,-14,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,14,0.0472
ENPP3,76,90,14,0.6451,0.6143,-0.0308,ENSG00000154269,ENPP3,1,-14,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,14,0.0308
FAM149B1,145,159,14,0.4522,0.4222,-0.03,ENSG00000138286,FAM149B1,0,-14,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,14,0.03
SNRNP35,237,223,-14,0.2553,0.2854,0.0301,ENSG00000184209,SNRNP35,0,14,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,14,0.0301
STPG2,243,229,-14,0.2356,0.2782,0.0426,ENSG00000163116,STPG2,0,14,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,14,0.0426
PPP2R5D,82,96,14,0.633,0.5915,-0.0415,ENSG00000112640,PPP2R5D,0,-14,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,14,0.0415
PTPRM,33,20,-13,0.7514,0.7627,0.0114,ENSG00000173482,PTPRM,1,13,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0114
APPBP2,209,196,-13,0.3151,0.3521,0.037,ENSG00000062725,APPBP2,0,13,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.037
GMIP,241,254,13,0.2398,0.2115,-0.0283,ENSG00000089639,GMIP,0,-13,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,13,0.0283
L3MBTL3,49,36,-13,0.7058,0.728,0.0222,ENSG00000198945,L3MBTL3,1,13,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0222
TYK2,223,210,-13,0.2888,0.3084,0.0196,ENSG00000105397,TYK2,1,13,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0196
ZFP64,86,73,-13,0.622,0.6517,0.0297,ENSG00000020256,ZFP64,1,13,outside_both,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0297
ZNF184,240,227,-13,0.2403,0.2787,0.0384,ENSG00000096654,ZNF184,0,13,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0384
GALNT3,61,48,-13,0.6852,0.6968,0.0116,ENSG00000115339,GALNT3,1,13,moved_in_by_DNABERT2,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0116
POTEG,239,226,-13,0.2471,0.2794,0.0323,ENSG00000187537,POTEG,0,13,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0323
TECPR1,185,173,-12,0.3576,0.3935,0.0359,ENSG00000205356,TECPR1,1,12,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,12,0.0359
HHEX,14,26,12,0.7984,0.7533,-0.0452,ENSG00000152804,HHEX,1,-12,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,12,0.0452
SNAPC2,257,269,12,0.1974,0.1627,-0.0347,ENSG00000104976,SNAPC2,1,-12,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,12,0.0347
BIK,197,185,-12,0.3335,0.3814,0.0479,ENSG00000100290,BIK,0,12,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,12,0.0479
UBALD2,63,75,12,0.6792,0.649,-0.0302,ENSG00000185262,UBALD2,0,-12,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,12,0.0302
ADRB1,12,24,12,0.7989,0.7556,-0.0434,ENSG00000043591,ADRB1,1,-12,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,12,0.0434
NFAT5,24,12,-12,0.7651,0.784,0.0189,ENSG00000102908,NFAT5,1,12,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,12,0.0189
SYNPO2L,265,253,-12,0.1677,0.225,0.0572,ENSG00000166317,SYNPO2L,0,12,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,12,0.0572
UCMA,130,119,-11,0.4924,0.5258,0.0334,ENSG00000165623,UCMA,1,11,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,11,0.0334
DNMT3A,16,27,11,0.7939,0.7515,-0.0424,ENSG00000119772,DNMT3A,1,-11,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,11,0.0424
KIF2A,60,71,11,0.6866,0.6548,-0.0318,ENSG00000068796,KIF2A,0,-11,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,11,0.0318
NCAM1,83,72,-11,0.6276,0.6524,0.0248,ENSG00000149294,NCAM1,1,11,outside_both,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,11,0.0248
CACNA1D,13,2,-11,0.7985,0.8604,0.0619,ENSG00000157388,CACNA1D,1,11,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,11,0.0619
HCFC2,102,92,-10,0.5826,0.6086,0.0261,ENSG00000111727,HCFC2,0,10,outside_both,moved_in_by_DNABERT2,small_up_by_DNABERT2,DNABERT2_ranked_higher,10,0.0261
GSTT4,135,126,-9,0.4853,0.5128,0.0275,ENSG00000276950,GSTT4,0,9,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,9,0.0275
ARF3,90,81,-9,0.6146,0.6412,0.0266,ENSG00000134287,ARF3,0,9,outside_both,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,9,0.0266
TSPAN8,91,100,9,0.6138,0.5839,-0.0299,ENSG00000127324,TSPAN8,1,-9,outside_both,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,9,0.0299
ZMYM1,236,245,9,0.2575,0.2476,-0.0098,ENSG00000197056,ZMYM1,0,-9,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,9,0.0098
APOBR,260,251,-9,0.188,0.2309,0.043,ENSG00000184730,APOBR,1,9,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,9,0.043
ZNF26,226,217,-9,0.2796,0.2942,0.0146,ENSG00000198393,ZNF26,0,9,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,9,0.0146
SPDYE13,271,263,-8,0.0898,0.1882,0.0984,ENSG00000286038,SPDYE13,0,8,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,8,0.0984
KRI1,213,221,8,0.3025,0.2892,-0.0134,ENSG00000129347,KRI1,0,-8,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,8,0.0134
ZC3H12C,32,40,8,0.7547,0.7194,-0.0353,ENSG00000149289,ZC3H12C,1,-8,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,8,0.0353
SPAG6,138,130,-8,0.4764,0.5,0.0236,ENSG00000077327,SPAG6,0,8,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,8,0.0236
NOL6,248,255,7,0.2263,0.2098,-0.0165,ENSG00000165271,NOL6,0,-7,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,7,0.0165
CHD1L,131,138,7,0.4919,0.4676,-0.0243,ENSG00000131778,CHD1L,1,-7,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,7,0.0243
MICALL1,171,178,7,0.3797,0.3896,0.0098,ENSG00000100139,MICALL1,0,-7,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,7,0.0098
GNL2,143,150,7,0.4541,0.4411,-0.013,ENSG00000134697,GNL2,0,-7,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,7,0.013
CENPW,177,184,7,0.373,0.382,0.0091,ENSG00000203760,CENPW,1,-7,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,7,0.0091
PI16,245,252,7,0.232,0.2297,-0.0023,ENSG00000164530,PI16,1,-7,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,7,0.0023
TNIP1,100,107,7,0.586,0.5664,-0.0196,ENSG00000145901,TNIP1,1,-7,outside_both,moved_out_from_handcrafted,small_down_by_DNABERT2,DNABERT2_ranked_lower,7,0.0196
C20ORF173,212,205,-7,0.3028,0.3179,0.0151,ENSG00000125975,C20orf173,0,7,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,7,0.0151
EBF2,52,45,-7,0.6967,0.7099,0.0132,ENSG00000221818,EBF2,1,7,moved_in_by_DNABERT2,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,7,0.0132
ADGRE5,118,125,7,0.5328,0.5191,-0.0137,ENSG00000123146,ADGRE5,0,-7,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,7,0.0137
PPP2R2C,43,49,6,0.7163,0.6909,-0.0254,ENSG00000074211,PPP2R2C,1,-6,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,6,0.0254
TNFRSF19,151,145,-6,0.4372,0.4454,0.0082,ENSG00000127863,TNFRSF19,0,6,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,6,0.0082
PAX4,181,175,-6,0.3602,0.3925,0.0322,ENSG00000106331,PAX4,1,6,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,6,0.0322
RBM44,160,166,6,0.4051,0.4003,-0.0048,ENSG00000177483,RBM44,0,-6,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,6,0.0048
RHBDL3,27,21,-6,0.7618,0.7625,0.0006,ENSG00000141314,RHBDL3,0,6,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,6,0.0006
DYRK2,10,4,-6,0.8058,0.8432,0.0374,ENSG00000127334,DYRK2,1,6,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,6,0.0374
PRKN,150,155,5,0.4411,0.4281,-0.013,ENSG00000185345,PRKN,1,-5,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,5,0.013
THADA,253,258,5,0.2083,0.2008,-0.0075,ENSG00000115970,THADA,1,-5,outside_both,outside_both,small_down_by_DNABERT2,DNABERT2_ranked_lower,5,0.0075
SCD5,36,31,-5,0.7419,0.7455,0.0036,ENSG00000145284,SCD5,1,5,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0036
TOR1AIP1,261,256,-5,0.1864,0.2069,0.0206,ENSG00000143337,TOR1AIP1,0,5,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0206
CCDC8,269,264,-5,0.1306,0.1868,0.0561,ENSG00000169515,CCDC8,0,5,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0561
GALNT10,21,16,-5,0.7723,0.775,0.0027,ENSG00000164574,GALNT10,1,5,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0027
VPS13C,206,201,-5,0.3186,0.345,0.0264,ENSG00000129003,VPS13C,1,5,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0264
KCNK4,133,128,-5,0.4872,0.5,0.0128,ENSG00000182450,KCNK4,0,5,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0128
ABCC8,120,115,-5,0.5225,0.5326,0.0101,ENSG00000006071,ABCC8,1,5,outside_both,outside_both,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0101
HAS2,56,51,-5,0.6927,0.6863,-0.0064,ENSG00000170961,HAS2,1,5,outside_both,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0064
DACH1,2,7,5,0.8412,0.8204,-0.0209,ENSG00000276644,DACH1,1,-5,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,5,0.0209
ARF5,101,97,-4,0.5855,0.5889,0.0034,ENSG00000004059,ARF5,1,4,outside_both,moved_in_by_DNABERT2,stable,DNABERT2_ranked_higher,4,0.0034
RPAP1,270,266,-4,0.1185,0.1721,0.0537,ENSG00000103932,RPAP1,1,4,outside_both,outside_both,stable,DNABERT2_ranked_higher,4,0.0537
MEIS1,18,14,-4,0.7875,0.7804,-0.0071,ENSG00000143995,MEIS1,1,4,shared,shared,stable,DNABERT2_ranked_higher,4,0.0071
RAB11FIP1,199,195,-4,0.331,0.3525,0.0215,ENSG00000156675,RAB11FIP1,0,4,outside_both,outside_both,stable,DNABERT2_ranked_higher,4,0.0215
XPC,267,271,4,0.1588,0.1369,-0.0219,ENSG00000154767,XPC,0,-4,outside_both,outside_both,stable,DNABERT2_ranked_lower,4,0.0219
LCE2D,234,238,4,0.2633,0.2572,-0.0061,ENSG00000187223,LCE2D,0,-4,outside_both,outside_both,stable,DNABERT2_ranked_lower,4,0.0061
RIGI,242,246,4,0.2359,0.2463,0.0104,ENSG00000107201,RIGI,1,-4,outside_both,outside_both,stable,DNABERT2_ranked_lower,4,0.0104
NDUFC2,84,80,-4,0.6263,0.6437,0.0174,ENSG00000151366,NDUFC2,1,4,outside_both,shared,stable,DNABERT2_ranked_higher,4,0.0174
ZNF430,180,177,-3,0.361,0.3899,0.0288,ENSG00000118620,ZNF430,0,3,outside_both,outside_both,stable,DNABERT2_ranked_higher,3,0.0288
EIF1,64,67,3,0.6755,0.6618,-0.0136,ENSG00000173812,EIF1,0,-3,outside_both,shared,stable,DNABERT2_ranked_lower,3,0.0136
MAD1L1,244,247,3,0.2346,0.2372,0.0026,ENSG00000002822,MAD1L1,1,-3,outside_both,outside_both,stable,DNABERT2_ranked_lower,3,0.0026
EXOC2,121,124,3,0.5159,0.5194,0.0035,ENSG00000112685,EXOC2,0,-3,outside_both,outside_both,stable,DNABERT2_ranked_lower,3,0.0035
SLC5A2,66,69,3,0.6688,0.6585,-0.0103,ENSG00000140675,SLC5A2,1,-3,outside_both,shared,stable,DNABERT2_ranked_lower,3,0.0103
PAMR1,51,54,3,0.697,0.6817,-0.0152,ENSG00000149090,PAMR1,1,-3,outside_both,shared,stable,DNABERT2_ranked_lower,3,0.0152
KCNJ11,75,78,3,0.6474,0.6455,-0.0019,ENSG00000187486,KCNJ11,1,-3,outside_both,shared,stable,DNABERT2_ranked_lower,3,0.0019
KDM2B,81,79,-2,0.6379,0.6454,0.0075,ENSG00000089094,KDM2B,1,2,outside_both,shared,stable,DNABERT2_ranked_higher,2,0.0075
PRMT6,147,149,2,0.4519,0.4417,-0.0102,ENSG00000198890,PRMT6,1,-2,outside_both,outside_both,stable,DNABERT2_ranked_lower,2,0.0102
FGGY,96,94,-2,0.5985,0.6038,0.0053,ENSG00000172456,FGGY,0,2,outside_both,shared,stable,DNABERT2_ranked_higher,2,0.0053
GAD1,7,5,-2,0.8134,0.8365,0.023,ENSG00000128683,GAD1,1,2,shared,shared,stable,DNABERT2_ranked_higher,2,0.023
ICE1,164,162,-2,0.4006,0.4132,0.0127,ENSG00000164151,ICE1,0,2,outside_both,outside_both,stable,DNABERT2_ranked_higher,2,0.0127
BCL11B,17,15,-2,0.7893,0.7766,-0.0127,ENSG00000127152,BCL11B,1,2,shared,shared,stable,DNABERT2_ranked_higher,2,0.0127
ACADS,34,32,-2,0.7508,0.7443,-0.0065,ENSG00000122971,ACADS,1,2,shared,shared,stable,DNABERT2_ranked_higher,2,0.0065
ZNF821,87,85,-2,0.6215,0.6362,0.0147,ENSG00000102984,ZNF821,0,2,outside_both,shared,stable,DNABERT2_ranked_higher,2,0.0147
ZNF699,266,268,2,0.1638,0.1644,0.0006,ENSG00000196110,ZNF699,0,-2,outside_both,outside_both,stable,DNABERT2_ranked_lower,2,0.0006
SIPA1L3,134,136,2,0.4869,0.476,-0.0109,ENSG00000105738,SIPA1L3,0,-2,outside_both,outside_both,stable,DNABERT2_ranked_lower,2,0.0109
ELF1,74,76,2,0.6475,0.6472,-0.0003,ENSG00000120690,ELF1,1,-2,outside_both,shared,stable,DNABERT2_ranked_lower,2,0.0003
TCF12,15,17,2,0.7982,0.773,-0.0252,ENSG00000140262,TCF12,1,-2,shared,shared,stable,DNABERT2_ranked_lower,2,0.0252
NDUFV1,11,13,2,0.8046,0.7829,-0.0218,ENSG00000167792,NDUFV1,1,-2,shared,shared,stable,DNABERT2_ranked_lower,2,0.0218
ZBTB39,103,105,2,0.5798,0.5697,-0.0101,ENSG00000166860,ZBTB39,0,-2,outside_both,outside_both,stable,DNABERT2_ranked_lower,2,0.0101
COL23A1,65,66,1,0.6753,0.6625,-0.0128,ENSG00000050767,COL23A1,0,-1,outside_both,shared,stable,DNABERT2_ranked_lower,1,0.0128
PDX1,48,47,-1,0.707,0.7017,-0.0053,ENSG00000139515,PDX1,1,1,shared,shared,stable,DNABERT2_ranked_higher,1,0.0053
TFAP2B,40,41,1,0.7277,0.7194,-0.0083,ENSG00000008196,TFAP2B,1,-1,shared,shared,stable,DNABERT2_ranked_lower,1,0.0083
NDUFA2,112,113,1,0.5535,0.5388,-0.0146,ENSG00000131495,NDUFA2,1,-1,outside_both,outside_both,stable,DNABERT2_ranked_lower,1,0.0146
PIP5K1A,69,70,1,0.6619,0.6556,-0.0062,ENSG00000143398,PIP5K1A,0,-1,outside_both,shared,stable,DNABERT2_ranked_lower,1,0.0062
TPK1,117,118,1,0.5337,0.526,-0.0076,ENSG00000196511,TPK1,0,-1,outside_both,outside_both,stable,DNABERT2_ranked_lower,1,0.0076
ZNF814,256,257,1,0.1979,0.2049,0.007,ENSG00000204514,ZNF814,0,-1,outside_both,outside_both,stable,DNABERT2_ranked_lower,1,0.007
ARHGAP22,152,152,0,0.4357,0.44,0.0044,ENSG00000128805,ARHGAP22,1,0,outside_both,outside_both,stable,same_rank,0,0.0044
INSR,6,6,0,0.8175,0.8328,0.0153,ENSG00000171105,INSR,1,0,shared,shared,stable,same_rank,0,0.0153
FOXN3,1,1,0,0.8846,0.8711,-0.0135,ENSG00000053254,FOXN3,1,0,shared,shared,stable,same_rank,0,0.0135
