rank_by_score,disease_id,evidence_mode,target_id,target_symbol,target_name,association_score,ds_clinical_precedence,ds_gwas_credible_sets,ds_eva,ds_genomics_england,ds_eva_somatic,ds_europepmc,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,ds_impc,ds_gene_burden,ds_uniprot_variants,ds_uniprot_literature,prio_isCancerDriverGene,ds_expression_atlas,prio_hasTEP,rank_by_score_clean
1371,MONDO_0005148,direct_only,ENSG00000135828,RNASEL,ribonuclease L,0.2164143165714823,,0.3559851177497665,,,,,-0.2387203530060673,,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,,-1.0,-1.0,0.0,,,,,,,,1371
1372,MONDO_0005148,direct_only,ENSG00000197757,HOXC6,homeobox C6,0.2162738321074742,,0.3549265701104783,,,,0.0165492272683163,-0.4778819635962493,,0.0,0.0,,0.0,0.0,0.0,,,1.0,0.0,0.0,0.5,0.0,,,,,,,,1372
1373,MONDO_0005148,direct_only,ENSG00000196557,CACNA1H,calcium voltage-gated channel subunit alpha1 H,0.216098453138901,,0.3534602191038721,,,,0.0401065456757666,0.1638168781025923,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,-0.8540274633151709,0.2413949999999999,0.0,0.0,0.5,0.0,,,,,,,,1373
1374,MONDO_0005148,direct_only,ENSG00000089116,LHX5,LIM homeobox 5,0.2159124152185322,,0.35515952813509,,,,,-0.7724214009928296,,0.0,0.0,,0.0,0.0,0.0,,-0.846284525210908,0.9378100000000004,-0.3656725000000002,0.5,0.75,0.0,,,,,,,,1374
1375,MONDO_0005148,direct_only,ENSG00000149927,DOC2A,double C2 domain alpha,0.2157475723050407,,0.3533685470654011,,,,0.030396539880581,0.0094870380584666,,0.0,0.0,,0.0,0.0,0.0,,,0.7375,-0.0875,0.0,0.75,0.0,,,,,,,,1375
1376,MONDO_0005148,direct_only,ENSG00000205482,SPDYE18,speedy/RINGO cell cycle regulator family member E18,0.2157305851730107,,0.3548604315171265,,,,,-0.6164368450082736,,0.0,0.0,,0.0,,,,0.0,0.0,-0.9502849999999998,0.5,0.5,,,,,,,,,1376
1377,MONDO_0005148,direct_only,ENSG00000188779,SKOR1,SKI family transcriptional corepressor 1,0.2153898446603601,,0.3476127004735724,,,,0.1337447754745566,-0.2795366795366795,,0.0,0.0,,0.0,0.0,0.0,,-0.0537322466794323,0.6321249999999999,0.0,0.5,1.0,0.0,,,,,,,,1377
1378,MONDO_0005148,direct_only,ENSG00000182752,PAPPA,pappalysin 1,0.2151640272310958,,0.3218005840025699,,,,0.6425580544121653,-0.7228902371759515,,0.0,0.0,,0.0,0.0,1.0,,-0.2726351129919768,0.5636150000000001,0.0,0.0,1.0,0.0,,,,,,,,1378
1379,MONDO_0005148,direct_only,ENSG00000189079,ARID2,AT-rich interaction domain 2,0.2149156354576797,,0.3514280281294516,,,,0.0418374597522997,-0.940761169332598,,0.0,0.0,,0.0,0.0,0.0,,-0.897062475802228,0.6021799999999999,,-1.0,-1.0,0.0,,,,,255.0,,,1379
1380,MONDO_0005148,direct_only,ENSG00000197157,SND1,staphylococcal nuclease and tudor domain containing 1,0.2148792503679242,,0.3429187836811651,,,,0.21082533452173,-0.8095973524544953,,0.0,0.0,,0.0,0.0,0.0,,-0.6348918476936577,0.8681300000000001,0.0,-1.0,-1.0,0.0,,,,,,,,1380
1381,MONDO_0005148,direct_only,ENSG00000038945,MSR1,macrophage scavenger receptor 1,0.2147109089813288,,0.3426990095985525,,,,0.2096826402086646,0.5760617760617761,,0.0,0.0,,1.0,0.0,0.0,,-0.6136507126876101,0.0,0.0,-1.0,1.0,0.0,,,,,,,,1381
1382,MONDO_0005148,direct_only,ENSG00000121552,CSTA,cystatin A,0.2146464031607717,,0.3474621180376891,,,,0.1122983278921466,0.4129067843353557,,0.0,0.0,,0.0,0.0,0.0,,-0.5498696049048243,0.0,0.0,0.0,0.5,0.0,,,,,,,,1382
1383,MONDO_0005148,direct_only,ENSG00000157554,ERG,ETS transcription factor ERG,0.2143469951787296,,0.3479997196048263,,,,0.0916962286397528,-0.9350248207391064,,1.0,0.0,,1.0,0.0,0.0,,-0.9546133958833112,0.8225450000000002,-0.0762,0.0,0.5,0.0,,,,,,,,1383
1384,MONDO_0005148,direct_only,ENSG00000111713,GYS2,glycogen synthase 2,0.214307232737768,,0.3249716695301099,,,,0.0334361938686391,0.4860452289023718,,0.0,0.0,,1.0,,,,-0.8409827246852364,0.7083950000000001,-0.26387,0.5,1.0,0.0,0.5360885756038678,,,,,,,1384
1385,MONDO_0005148,direct_only,ENSG00000160094,ZNF362,zinc finger protein 362,0.2142616963858726,,0.352444220999566,,,,,-0.7448428019856591,,0.0,0.0,,0.0,0.0,0.0,,,0.9047600000000002,0.0,-1.0,-1.0,0.0,,,,,,,,1385
1386,MONDO_0005148,direct_only,ENSG00000130173,ANGPTL8,angiopoietin like 8,0.2141235983817173,,,,,,0.965033229262596,0.8200772200772202,,0.0,0.0,,0.0,0.0,1.0,,-0.2180508701898142,0.0,,0.0,1.0,0.0,,,,0.3039653988058105,,,,1386
1387,MONDO_0005148,direct_only,ENSG00000101343,CRNKL1,crooked neck pre-mRNA splicing factor 1,0.2141094782350262,,0.35219383369982,,,,,-0.7455046883618313,,0.0,0.0,,0.0,0.0,0.0,,,0.8180500000000002,0.0,-1.0,-1.0,-1.0,,,,,,,,1387
1388,MONDO_0005148,direct_only,ENSG00000170525,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",0.2140914285795529,,0.3337303249462449,,,,0.3640653232249837,-0.5460562603419746,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.7692300000000003,-0.1298075,-1.0,0.5,0.0,,,,,,0.0103748525837394,,1388
1389,MONDO_0005148,direct_only,ENSG00000170633,RNF34,ring finger protein 34,0.2140683506970189,,0.3521261820227396,,,,,-0.7115278543849972,,0.0,0.0,,0.0,0.0,0.0,,-0.7972445457744933,0.4489249999999998,0.0,-1.0,-1.0,0.0,,,,,,,,1389
1390,MONDO_0005148,direct_only,ENSG00000187323,DCC,DCC netrin 1 receptor,0.2138511276857245,,0.3487292126755191,,,,0.0607930797611621,-0.7792608935466079,,0.0,0.0,,0.0,0.0,0.0,,-0.8189250094948058,0.8237749999999998,0.0,0.5,0.5,0.0,,,,,,,,1390
1391,MONDO_0005148,direct_only,ENSG00000112242,E2F3,E2F transcription factor 3,0.2137684125964962,,0.350011657828979,,,,0.0324229758726197,-0.8031991174848317,,0.0,0.0,,0.0,0.0,0.0,0.7,-0.8602675103693336,0.7096800000000002,0.0,-1.0,-1.0,0.0,,,,,,,,1391
1392,MONDO_0005148,direct_only,ENSG00000164713,BRI3,brain protein I3,0.213679752940102,,0.3514869682200442,,,,,0.5370104798676227,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.6799999999999997,,-1.0,-1.0,0.0,,,,,,,,1392
1393,MONDO_0005148,direct_only,ENSG00000174145,NWD2,NACHT and WD repeat domain containing 2,0.2136201772847221,,0.3513889707907087,,,,,-0.8689464975179261,,0.0,0.0,,0.0,,,,-0.1427159954401025,0.7388049999999999,0.0,0.5,0.5,0.0,,,,,,,,1393
1394,MONDO_0005148,direct_only,ENSG00000187166,H1-7,H1.7 linker histone,0.2134327432358239,,0.3510806560127198,,,,,0.9616105901820188,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,1394
1395,MONDO_0005148,direct_only,ENSG00000075275,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,0.2133682132891531,,0.3509745091504054,,,,,-0.6157749586321015,,0.0,0.0,,0.0,1.0,0.0,,-0.9161920466445757,0.0626049999999999,0.0,0.0,0.5,0.0,,,,,,,,1395
1396,MONDO_0005148,direct_only,ENSG00000109606,DHX15,DEAH-box helicase 15,0.2128873281742108,,0.339164743944713,,,,0.2203749141342126,-0.9785990071704358,,0.0,0.0,,0.0,0.0,0.0,,-0.5185242486051957,0.9811300000000004,0.0,-1.0,-1.0,-1.0,,,,,,,,1396
1397,MONDO_0005148,direct_only,ENSG00000162885,B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2",0.2128040518610171,,0.3500465064396488,,,,,0.1342526199669056,,0.0,0.0,,0.0,0.0,0.0,,-0.4547431408224101,0.4200000000000002,0.0,-1.0,-1.0,0.0,,,,,,,,1397
1398,MONDO_0005148,direct_only,ENSG00000112041,TULP1,TUB like protein 1,0.2127451982758045,,0.3499496967609093,,,,,0.0912300055157198,,0.0,1.0,,0.0,1.0,0.0,,-0.8043660864090779,0.0036900000000002,0.0,0.5,1.0,0.0,,,,,,,,1398
1399,MONDO_0005148,direct_only,ENSG00000032219,ARID4A,AT-rich interaction domain 4A,0.2126819407131058,,0.3498456428736129,,,,,-0.8547159404302261,,0.0,0.0,255.0,0.0,1.0,0.0,,-0.8110666020461754,0.2919649999999997,0.0,-1.0,-1.0,0.0,,,,,,,,1399
1400,MONDO_0005148,direct_only,ENSG00000137877,SPTBN5,"spectrin beta, non-erythrocytic 5",0.212621661461051,,0.3497464880811733,,,,,0.569111969111969,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.75,0.0,,,,,,,,1400
1401,MONDO_0005148,direct_only,ENSG00000111142,METAP2,methionyl aminopeptidase 2,0.212478402122785,0.1215861595223242,0.3131775905424461,,,,0.2671518116171068,-0.3601765030336459,1.0,1.0,0.0,,1.0,1.0,0.0,0.7,,0.7489550000000001,0.0,-1.0,-1.0,-1.0,,,,,,,,1401
1402,MONDO_0005148,direct_only,ENSG00000100393,EP300,EP300 lysine acetyltransferase,0.2124139704695215,,0.3334914878376992,,,,0.3182672866605872,-0.9749586321014893,1.0,1.0,1.0,,1.0,0.0,0.0,,-0.96779428623433,0.695525,0.0,-1.0,-1.0,0.0,,,,,255.0,,,1402
1403,MONDO_0005148,direct_only,ENSG00000173163,COMMD1,copper metabolism domain containing 1,0.2118512085195381,,0.3484791514952662,,,,,0.2594594594594595,,0.0,0.0,,0.0,0.0,0.0,,,0.2105249999999998,,-1.0,-1.0,0.0,,,,,,,,1403
1404,MONDO_0005148,direct_only,ENSG00000118007,STAG1,STAG1 cohesin complex component,0.21182396512592,,0.3484343381814398,,,,,-0.9767236624379482,,0.0,0.0,,0.0,0.0,0.0,,-0.9161317207743386,0.9682049999999996,-0.2865649999999998,-1.0,-1.0,0.0,,,,,,,1.0,1404
1405,MONDO_0005148,direct_only,ENSG00000105954,NPVF,neuropeptide VF precursor,0.2116679299355956,,0.3481776721415922,,,,,0.8132377275234417,,0.0,0.0,,0.0,0.0,1.0,,,0.0,,0.5,1.0,0.0,,,,,,,,1405
1406,MONDO_0005148,direct_only,ENSG00000119938,PPP1R3C,protein phosphatase 1 regulatory subunit 3C,0.211479724768751,,0.3288056307155811,,,,0.0764979586994623,-0.0418091560948703,,0.0,0.0,,0.0,1.0,0.0,,-0.8458647345894018,0.3059950000000001,0.0,0.0,0.5,0.0,0.3472500715957579,,,,,,,1406
1407,MONDO_0005148,direct_only,ENSG00000173064,HECTD4,HECT domain E3 ubiquitin protein ligase 4,0.211439135177576,,0.3377770692658309,,,,0.2004850574382927,-0.89288472145615,,,,,,0.0,0.0,,-0.126127584265237,0.8551400000000001,0.0,-1.0,-1.0,,,,,,,,,1407
1408,MONDO_0005148,direct_only,ENSG00000105983,LMBR1,limb development membrane protein 1,0.2112393840735744,,0.3474727467393839,,,,,0.5904026475455046,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.8061250000000001,0.0,-1.0,-1.0,0.0,,,,,,,,1408
1409,MONDO_0005148,direct_only,ENSG00000168621,GDNF,glial cell derived neurotrophic factor,0.2111352102875759,,0.3318770603376325,,,,0.3084865686804505,-0.4028681742967457,,0.0,0.0,,0.0,0.0,1.0,,-0.9165629901624628,0.6445500000000003,0.0,0.0,0.5,0.0,,,,,,,,1409
1410,MONDO_0005148,direct_only,ENSG00000077782,FGFR1,fibroblast growth factor receptor 1,0.2110075119101681,,0.3317915807949261,,,,0.3059950768485394,-0.906784335355764,1.0,1.0,1.0,255.0,1.0,0.0,0.0,1.0,-0.9744123884163268,0.9209249999999998,-0.2791975000000001,-1.0,-1.0,0.0,,,,,,,,1410
1411,MONDO_0005148,direct_only,ENSG00000103241,FOXF1,forkhead box F1,0.2109725267104793,,0.3409544786642835,,,,0.1215861595223242,-0.4562603419746277,,0.0,0.0,,0.0,0.0,0.0,,-0.9522538724381154,0.670185,0.0,0.0,0.5,0.0,,,,,,,,1411
1412,MONDO_0005148,direct_only,ENSG00000108256,NUFIP2,nuclear FMR1 interacting protein 2,0.2109323836492981,,0.3469677543529438,,,,,-0.9567567567567568,,0.0,0.0,,0.0,0.0,0.0,,-0.1981330327720645,0.7050350000000002,,-1.0,0.5,0.0,,,,,,,,1412
1413,MONDO_0005148,direct_only,ENSG00000151789,ZNF385D,zinc finger protein 385D,0.2109084482145983,,0.3434074498441871,,,,0.0704186507233461,-0.5544401544401545,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.5,0.0,,,,,,,,1413
1414,MONDO_0005148,direct_only,ENSG00000170142,UBE2E1,ubiquitin conjugating enzyme E2 E1,0.2108636465633609,,0.3468546870659973,,,,,-0.6608935466078323,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.9481850000000002,-0.6243525000000002,-1.0,-1.0,0.0,,,,,,,,1414
1415,MONDO_0005148,direct_only,ENSG00000125398,SOX9,SRY-box transcription factor 9,0.2107506688702654,,0.3434149143570305,,,,0.0650786596514241,-0.9790402647545504,,0.0,0.0,,0.0,0.0,0.0,,-0.921334651241558,0.8526499999999999,0.0,0.0,0.5,0.0,,,,,,,,1415
1416,MONDO_0005148,direct_only,ENSG00000122008,POLK,DNA polymerase kappa,0.2106252515031006,,0.3449427182999164,,,,0.030396539880581,-0.0763375620518477,,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,-1.0,-1.0,0.0,,,,,,,,1416
1417,MONDO_0005148,direct_only,ENSG00000108395,TRIM37,tripartite motif containing 37,0.2104260000622965,,0.3450709129077822,,,,0.0212775779164067,-0.3018201875344732,,0.0,0.0,,0.0,0.0,0.0,,-0.945672819891832,0.6265549999999998,0.0,-1.0,0.5,-1.0,,,,,,,,1417
1418,MONDO_0005148,direct_only,ENSG00000168297,PXK,PX domain containing serine/threonine kinase like,0.2101774829912534,,0.3457260000924088,,,,,-0.5825703254274683,,0.0,0.0,,0.0,1.0,0.0,,0.0,0.6366799999999998,0.0,-1.0,0.5,0.0,,,,,,,,1418
1419,MONDO_0005148,direct_only,ENSG00000104756,KCTD9,potassium channel tetramerization domain containing 9,0.2100378740009814,,0.345496353904355,,,,,-0.7472697186982902,,0.0,0.0,,0.0,0.0,0.0,,-0.6699623800407886,0.92288,0.0,-1.0,-1.0,0.0,,,,,,,,1419
1420,MONDO_0005148,direct_only,ENSG00000157214,STEAP2,STEAP2 metalloreductase,0.2099332494520644,,0.3453242544658531,,,,,-0.2204081632653061,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.8265300000000003,0.0,0.0,1.0,0.0,,,,,,,,1420
1421,MONDO_0005148,direct_only,ENSG00000137802,MAPKBP1,mitogen-activated protein kinase binding protein 1,0.2098148687651432,,0.3451295272248804,,,,,-0.7044677330391615,,0.0,0.0,,0.0,0.0,0.0,,-0.6023617850827678,0.3202899999999999,0.0,-1.0,0.5,0.0,,,,,,,,1421
1422,MONDO_0005148,direct_only,ENSG00000139117,CPNE8,copine 8,0.2094607660599262,,0.3445470551629151,,,,,-0.0073910645339216,,0.0,0.0,,0.0,,,,,0.9379449999999998,-0.5124124999999999,-1.0,-1.0,0.0,,,,,,,,1422
1423,MONDO_0005148,direct_only,ENSG00000175470,PPP2R2D,protein phosphatase 2 regulatory subunit Bdelta,0.2093970827272845,,0.3429224739223635,,,,0.030396539880581,-0.5616105901820188,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.8675499999999999,-0.6743925000000001,0.0,0.5,,,,,,,,,1423
1424,MONDO_0005148,direct_only,ENSG00000179142,CYP11B2,cytochrome P450 family 11 subfamily B member 2,0.2093518878675149,0.3343619386863916,,,,,0.2001204023493171,0.0699393270821842,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,-0.9381375355832446,,-0.8310150000000001,1.0,1.0,0.0,,,,,,,,1424
1425,MONDO_0005148,direct_only,ENSG00000152208,GRID2,glutamate ionotropic receptor delta type subunit 2,0.2092426843951007,,0.3441883273838945,,,,,-0.8602316602316602,,0.0,0.0,,0.0,0.0,0.0,,-0.9234130273753371,0.8808349999999997,0.0,0.5,0.75,0.0,,,,,,,,1425
1426,MONDO_0005148,direct_only,ENSG00000166510,CCDC68,coiled-coil domain containing 68,0.2091112783623216,,0.3439721744380405,,,,,-0.0787644787644787,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.5,0.0,,,,,,,,1426
1427,MONDO_0005148,direct_only,ENSG00000179218,CALR,calreticulin,0.2090361187667126,,0.3316469728664393,,,,0.2440313948785135,-0.768450082735797,,0.0,0.0,,0.0,0.0,0.0,,-0.9222130289490452,0.7122300000000003,0.0,-1.0,-1.0,0.0,,,,,255.0,,,1427
1428,MONDO_0005148,direct_only,ENSG00000139220,PPFIA2,PPFI scaffold protein A2,0.208878350584758,,0.3435890259308771,,,,,-0.8358521787093216,,0.0,0.0,,0.0,0.0,0.0,,-0.6949309914424728,0.9403350000000004,-0.1786000000000001,0.0,0.75,0.0,,,,,,,,1428
1429,MONDO_0005148,direct_only,ENSG00000133818,RRAS2,RAS related 2,0.2085687384253628,,0.3415599104444545,,,,0.030396539880581,0.4487589630446773,,0.0,1.0,,0.0,1.0,0.0,,-0.6348509697180285,1.0,-0.1421575,-1.0,-1.0,0.0,,,,,,,,1429
1430,MONDO_0005148,direct_only,ENSG00000003436,TFPI,tissue factor pathway inhibitor,0.2085267294088565,,0.3271527846532632,,,,0.3171570228588486,-0.6226144511858798,,0.0,0.0,,1.0,0.0,1.0,1.0,-0.8985964935314974,0.0,0.0,-1.0,0.5,0.0,,,,,,,,1430
1431,MONDO_0005148,direct_only,ENSG00000242689,CNTF,ciliary neurotrophic factor,0.2082185424840654,,0.3344334999725316,,,,0.1614038346796339,0.718146718146718,,0.0,0.0,,0.0,0.0,0.0,,-0.3092304352315253,0.075,,0.5,0.5,0.0,,,,,,,,1431
1432,MONDO_0005148,direct_only,ENSG00000164627,KIF6,kinesin family member 6,0.2077111333842181,,0.3191777136256064,,,,0.4498265728160987,0.2871483728626585,,0.0,0.0,,0.0,0.0,0.0,,-0.8633423286285552,0.1093350000000001,0.0,0.5,0.5,0.0,,,,,,,,1432
1433,MONDO_0005148,direct_only,ENSG00000099250,NRP1,neuropilin 1,0.2076899602850385,,0.3219760725253876,,,,0.3931628320122469,-0.7866519580805296,,1.0,0.0,,1.0,0.0,1.0,0.1,-0.97137264584661,0.6587200000000003,0.0,-1.0,-1.0,0.0,,,,,,,,1433
1434,MONDO_0005148,direct_only,ENSG00000171224,FAM241B,family with sequence similarity 241 member B,0.2075379443101837,,0.3413841593904083,,,,,0.5432984004412575,,0.0,0.0,,0.0,0.0,0.0,,,0.586775,0.0,-1.0,0.5,0.0,,,,,,,,1434
1435,MONDO_0005148,direct_only,ENSG00000124181,PLCG1,phospholipase C gamma 1,0.2072947886454904,,0.338442107268372,,,,0.0508415903435918,-0.6837286265857694,,1.0,0.0,255.0,1.0,1.0,0.0,,-0.7659208016452757,0.84508,0.0,-1.0,-1.0,0.0,,,,,255.0,,,1435
1436,MONDO_0005148,direct_only,ENSG00000136928,GABBR2,gamma-aminobutyric acid type B receptor subunit 2,0.2069619624175262,,0.3398287821154668,,,,0.0121586159522324,-0.802757859900717,,1.0,0.0,,1.0,1.0,0.0,1.0,-0.7199579708498954,0.8990450000000003,0.0,0.5,1.0,0.0,,,,,,,,1436
1437,MONDO_0005148,direct_only,ENSG00000186047,DLEU7,deleted in lymphocytic leukemia 7,0.2066395879243818,,0.3399064313507511,,,,,0.9329288472145616,,0.0,0.0,,0.0,,,,,0.1402700000000002,,1.0,1.0,0.0,,,,,,,,1437
1438,MONDO_0005148,direct_only,ENSG00000181449,SOX2,SRY-box transcription factor 2,0.2065902064495997,,0.3309750138195603,,,,0.1770037750972542,-0.8842801985659129,,0.0,0.0,,0.0,0.0,0.0,,-0.9585925193652768,0.9053649999999998,-0.0851725,0.0,0.5,0.0,,,,,255.0,,,1438
1439,MONDO_0005148,direct_only,ENSG00000175544,CABP4,calcium binding protein 4,0.2057780787882564,,0.3384893142388857,,,,,0.5562051847766134,,0.0,0.0,,0.0,0.0,0.0,,-0.2880440265790307,0.0,0.0,0.5,1.0,0.0,,,,,,,,1439
1440,MONDO_0005148,direct_only,ENSG00000184226,PCDH9,protocadherin 9,0.2055188462107695,,0.3365430693392243,,,,0.030396539880581,-0.7855488141202427,,0.0,0.0,,0.0,0.0,0.0,,-0.3085594032942251,0.8019399999999998,0.0,0.0,1.0,0.0,,,,,,,,1440
1441,MONDO_0005148,direct_only,ENSG00000183734,ASCL2,achaete-scute family bHLH transcription factor 2,0.2053674277684166,,0.3343266658902883,,,,0.0697431720593332,0.989630446773304,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.5,0.0,,,,,,,,1441
1442,MONDO_0005148,direct_only,ENSG00000128567,PODXL,podocalyxin like,0.2051190519898253,,0.3198814070208405,,,,0.3504771635314995,-0.56150027578599,,0.0,0.0,,0.0,1.0,0.0,,-0.7756944526375076,0.0,,0.0,0.5,0.0,,,,,,,,1442
1443,MONDO_0005148,direct_only,ENSG00000143507,DUSP10,dual specificity phosphatase 10,0.2050672913673421,,0.3320513893244745,,,,0.1053746715860143,-0.4308880308880308,,0.0,0.0,,1.0,0.0,0.0,,0.0,0.8340249999999998,0.0,0.0,0.5,0.0,,,,,,,,1443
1444,MONDO_0005148,direct_only,ENSG00000108179,PPIF,peptidylprolyl isomerase F,0.2050238849358854,,0.3313213973433006,,,,0.1185465055342661,0.8062879205736349,,0.0,0.0,,1.0,0.0,0.0,,-0.5998045273600585,0.4444450000000003,-0.0096624999999999,-1.0,-1.0,0.0,,,,,,,,1444
1445,MONDO_0005148,direct_only,ENSG00000170927,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,0.2044246902690289,,0.3326155081060749,,,,0.0729516957133945,-0.3129619415333701,,0.0,0.0,,0.0,0.0,0.0,,-0.9740050256257444,0.0,0.0,0.5,0.75,0.0,,,,,,,,1445
1446,MONDO_0005148,direct_only,ENSG00000165370,GPR101,G protein-coupled receptor 101,0.2043895893141606,,0.3362053544863106,,,,,,,0.0,0.0,,0.0,1.0,0.0,,-0.7017846371299491,0.0,0.0,1.0,1.0,0.0,,,,,,,,1446
1447,MONDO_0005148,direct_only,ENSG00000115963,RND3,Rho family GTPase 3,0.2042492260065829,,0.3292600906852482,,,,0.1342875363663698,-0.6511858797573084,,0.0,0.0,,0.0,0.0,0.0,,-0.8660318696535809,1.0,0.0,-1.0,0.5,0.0,,,,,,,,1447
1448,MONDO_0005148,direct_only,ENSG00000140459,CYP11A1,cytochrome P450 family 11 subfamily A member 1,0.2039618823041198,0.3343619386863916,,,,,0.0227974049104357,-0.4371759514616657,,0.0,1.0,,0.0,0.0,0.0,1.0,-0.8826012633153865,0.0,0.0,0.0,1.0,0.0,,,,,,,,1448
1449,MONDO_0005148,direct_only,ENSG00000197891,SLC22A12,solute carrier family 22 member 12,0.2037988303739279,0.3191636687461011,0.0580769672916675,,,,0.0697810643445925,0.6146718146718146,,1.0,0.0,255.0,1.0,1.0,0.0,1.0,-0.2435791077952018,0.0,0.0,1.0,1.0,0.0,,,,,,,,1449
1450,MONDO_0005148,direct_only,ENSG00000197584,KCNMB2,potassium calcium-activated channel subfamily M regulatory beta subunit 2,0.2037370999323847,,0.3351320589988319,,,,,-0.5856591285162713,,0.0,0.0,,0.0,0.0,0.0,,,0.7659550000000003,0.0,0.0,0.5,0.0,,,,,,,,1450
1451,MONDO_0005148,direct_only,ENSG00000179562,GCC1,GRIP and coiled-coil domain containing 1,0.2036897282133422,,0.3331595873351984,,,,0.0378909756578043,-0.4037506894649751,,0.0,0.0,,0.0,1.0,0.0,,,0.6903199999999998,0.0,-1.0,-1.0,0.0,,,,,,,,1451
1452,MONDO_0005148,direct_only,ENSG00000173406,DAB1,DAB adaptor protein 1,0.2033581921964275,,0.3333508305627079,,,,0.0121586159522324,-0.7879757308328736,,0.0,0.0,,0.0,0.0,0.0,,-0.9310584442714308,0.82883,0.0,0.5,0.5,0.0,,,,,,0.0177552503301791,,1452
1453,MONDO_0005148,direct_only,ENSG00000160882,CYP11B1,cytochrome P450 family 11 subfamily B member 1,0.203268920076586,0.3343619386863916,,,,,,-0.07865416436845,,1.0,0.0,,1.0,0.0,0.0,1.0,-0.9381375355832446,,-0.8310150000000001,0.5,1.0,0.0,,,,,,,,1453
1454,MONDO_0005148,direct_only,ENSG00000177432,NAP1L5,nucleosome assembly protein 1 like 5,0.2031104697685489,,0.3341012999612939,,,,,0.914726971869829,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,-1.0,1.0,0.0,,,,,,,,1454
1455,MONDO_0005148,direct_only,ENSG00000136280,CCM2,CCM2 scaffold protein,0.2030932127485691,,0.3340729134738063,,,,,-0.3609487038058466,,0.0,0.0,,0.0,0.0,0.0,,-0.9662440262397616,0.6734250000000003,0.0,-1.0,0.5,0.0,,,,,,,,1455
1456,MONDO_0005148,direct_only,ENSG00000008869,HEATR5B,HEAT repeat containing 5B,0.2030890823718276,,0.3340661193176988,,,,,-0.3356867071152786,,0.0,0.0,,0.0,0.0,0.0,,,0.7923699999999997,0.0,-1.0,-1.0,0.0,,,,,,,,1456
1457,MONDO_0005148,direct_only,ENSG00000129993,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3,0.2026823228703255,,0.3333970308242385,,,,,-0.0208494208494208,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.1883600000000001,-0.1462475000000001,0.0,0.5,0.0,,,,,255.0,,,1457
1458,MONDO_0005148,direct_only,ENSG00000038002,AGA,aspartylglucosaminidase,0.2024881076691124,,0.3195394526145159,,,,0.2707621790217946,-0.0527302813017098,,0.0,0.0,,0.0,0.0,0.0,,-0.8211319289758601,0.118495,0.0,-1.0,-1.0,0.0,,,,,,,,1458
1459,MONDO_0005148,direct_only,ENSG00000135124,P2RX4,purinergic receptor P2X 4,0.2024466111312551,,0.2995181253953789,,,,0.6698235503282463,0.2020959735245449,1.0,1.0,0.0,255.0,1.0,1.0,0.0,,-0.8313227009179543,0.3298949999999997,0.0,-1.0,-1.0,0.0,,,,,,,,1459
1460,MONDO_0005148,direct_only,ENSG00000159592,GPBP1L1,GC-rich promoter binding protein 1 like 1,0.2023523718547082,,0.332854286457752,,,,,-0.5442912300055157,,0.0,0.0,,0.0,1.0,0.0,,,0.4514749999999999,0.0,-1.0,-1.0,0.0,,,,,,,,1460
1461,MONDO_0005148,direct_only,ENSG00000175662,TOM1L2,target of myb1 like 2 membrane trafficking protein,0.2023293836573138,,0.3305367321275599,,,,0.0455948098208715,-0.5503585217870932,,0.0,0.0,,0.0,0.0,0.0,,-0.7030288201673701,0.7435899999999996,-0.0384624999999999,-1.0,0.5,0.0,,,,,,,,1461
