rank_by_score,disease_id,evidence_mode,target_id,target_symbol,target_name,association_score,ds_clinical_precedence,ds_gwas_credible_sets,ds_eva,ds_genomics_england,ds_eva_somatic,ds_europepmc,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,ds_impc,ds_gene_burden,ds_uniprot_variants,ds_uniprot_literature,prio_isCancerDriverGene,ds_expression_atlas,prio_hasTEP
1047,MONDO_0005148,direct_only,ENSG00000206527,HACD2,3-hydroxyacyl-CoA dehydratase 2,0.27941533939243074,,0.45809718943312083,,,,0.030396539880581056,-0.04853833425262,,0,0,,0,0,0,,-0.9468297048199897,0.7440950000000001,0,-1,-1,0,,,,,,,
1048,MONDO_0005148,direct_only,ENSG00000152932,RAB3C,"RAB3C, member RAS oncogene family",0.27905512560207374,,0.45902449209416296,,,,,0.1821290678433536,,0,0,,0,0,0,,0,0.8678400000000004,-0.5154174999999999,0.5,0.5,0,,,,,,,
1049,MONDO_0005148,direct_only,ENSG00000170324,FRMPD2,FERM and PDZ domain containing 2,0.2788230325430543,,0.45864271663562184,,,,,-0.03894098179812466,,0,0,,0,0,0,,,0,0,0.5,1,0,,,,,,,
1050,MONDO_0005148,direct_only,ENSG00000120051,CFAP58,cilia and flagella associated protein 58,0.2785570352100638,,0.458205171220855,,,,,-0.11770546056260345,,0,0,,0,0,0,,0,0.3348649999999999,0,0.5,0.5,0,,,,,,,
1051,MONDO_0005148,direct_only,ENSG00000162869,PPP1R21,protein phosphatase 1 regulatory subunit 21,0.27843929193708633,,0.458011492477419,,,,,0.11218974076116939,,0,0,,0,0,0,,-0.022023425318627998,0.6025649999999999,,-1,-1,0,,,,,,,
1052,MONDO_0005148,direct_only,ENSG00000131374,TBC1D5,TBC1 domain family member 5,0.27837793656738374,,0.4579105675531618,,,,,-0.17065637065637063,,0,0,,0,0,0,,0,0.4859250000000003,0,-1,-1,0,,,,,,,
1053,MONDO_0005148,direct_only,ENSG00000164715,LMTK2,lemur tyrosine kinase 2,0.278158405171136,,0.45602962808200503,,,,0.030396539880581056,-0.7872035300606729,,0,0,,0,1,0,,-0.7847442477621019,0,0,-1,-1,0,,,,,,,
1054,MONDO_0005148,direct_only,ENSG00000125834,STK35,serine/threonine kinase 35,0.27789513958365525,,0.4571164031752009,,,,,-0.3357970215113072,,1,0,255,1,0,0,,-0.7829286168003358,0.40075000000000005,0,-1,1,0,,,,,,,
1055,MONDO_0005148,direct_only,ENSG00000115592,PRKAG3,protein kinase AMP-activated non-catalytic subunit gamma 3,0.2775399759578341,,0.43482537889860634,,,,0.06746343156828963,-0.12719249862107007,,1,0,255,1,0,0,1,0,0.24335499999999968,0,0.5,1,0,0.4041523942522057,,,,,,
1056,MONDO_0005148,direct_only,ENSG00000164749,HNF4G,hepatocyte nuclear factor 4 gamma,0.2774828078868468,,0.44993401992891086,,,,0.13008257829329808,-0.7704357418643133,,0,0,,0,0,0,,-0.2684267109140778,0.75824,-0.19230750000000008,0.5,1,0,,,,,,,
1057,MONDO_0005148,direct_only,ENSG00000277149,TYW1B,tRNA-yW synthesizing protein 1 homolog B,0.27721949806345103,,0.4560050241780213,,,,,0.08295642581356866,,0,0,,0,0,0,,-0.21929867103040152,0,-0.8914674999999999,0,0.5,0,,,,,,,
1058,MONDO_0005148,direct_only,ENSG00000188523,CFAP77,cilia and flagella associated protein 77,0.2770911810260154,,0.4557939523949503,,,,,0.21963596249310524,,0,0,,0,0,0,,,0.3838050000000003,,0.5,0.75,0,,,,,,,
1059,MONDO_0005148,direct_only,ENSG00000188738,FSIP2,fibrous sheath interacting protein 2,0.27701106273156845,,0.45566216388421565,,,,,-0.31516822945394374,,0,0,,0,0,0,,0,0,,0.5,0.75,0,,,,,,,
1060,MONDO_0005148,direct_only,ENSG00000197140,ADAM32,ADAM metallopeptidase domain 32,0.27647406969782257,,0.4547788511192504,,,,,0.13601765030336455,,0,0,,0,0,0,,-0.004900661783793225,0,0,0.5,1,0,,,,,,,
1061,MONDO_0005148,direct_only,ENSG00000002746,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",0.2763029116438492,,0.4538893783194145,,,,0.012158615952232422,-0.7682294539437396,,0,0,,0,0,0,,-0.2024466188616067,0.4302599999999998,0,0.5,0.5,0,,,,,,,
1062,MONDO_0005148,direct_only,ENSG00000137038,DMAC1,distal membrane arm assembly component 1,0.276285036122287,,0.45446790524140007,,,,,0.874903474903475,,0,0,,0,0,0,,,0,,-1,-1,0,,,,,,,
1063,MONDO_0005148,direct_only,ENSG00000069667,RORA,RAR related orphan receptor A,0.27607391267601444,,0.43755190142441575,,,,0.33137443558248264,-0.9520132377275234,1,1,0,255,1,0,0,,-0.9563156107616835,0.3499049999999997,0,-1,0.5,0,,,,,,,
1064,MONDO_0005148,direct_only,ENSG00000176571,CNBD1,cyclic nucleotide binding domain containing 1,0.2760509869474381,,0.4540829121208535,,,,,0.8362934362934362,,0,0,,0,,,,,0,0,1,1,0,,,,,,,
1065,MONDO_0005148,direct_only,ENSG00000131446,MGAT1,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0.2758150001981985,,0.45144344588523816,,,,0.045025719046440704,-0.519911748483177,,1,0,,1,0,0,,-0.8863531083124351,0.5168550000000003,0,-1,-1,0,,,,,,,
1066,MONDO_0005148,direct_only,ENSG00000176399,DMRTA1,DMRT like family A1,0.2757001630428399,,0.45350583343693673,,,,,0.48736900165471586,,0,0,,0,0,0,,-0.05901705023956677,0,0,0,0.5,0,,,,,,,
1067,MONDO_0005148,direct_only,ENSG00000102109,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,0.2756538058164292,,0.44629560388811096,,,,0.1426795086285622,,,0,0,,0,0,1,,-0.14029732899442954,0.15384499999999973,,0,0.75,0,,,,,,,
1068,MONDO_0005148,direct_only,ENSG00000134369,NAV1,neuron navigator 1,0.27542513574206035,,0.45305343441083035,,,,,-0.9811362382790955,,0,0,,0,0,0,,-0.7606240328195215,0.5263399999999997,0,-1,0.5,0,,,,,,,
1069,MONDO_0005148,direct_only,ENSG00000139160,ETFBKMT,electron transfer flavoprotein subunit beta lysine methyltransferase,0.27531056821334293,,0.452864979525558,,,,,0.10601213458356318,,0,0,,0,0,0,,-0.17665677748815223,0,0,-1,-1,0,,,,,,,
1070,MONDO_0005148,direct_only,ENSG00000147536,GINS4,GINS complex subunit 4,0.2752667429839392,,0.4527928903509745,,,,,0.042691671263099806,,0,0,,0,0,0,,0,0.39461999999999975,,0,0.5,-1,,,,,,,
1071,MONDO_0005148,direct_only,ENSG00000162949,CAPN13,calpain 13,0.27509807524118707,,0.45190751392400047,,,,0.012158615952232422,0.2689464975179261,,0,0,,0,0,0,,,0,0,0,0.5,0,,,,,,,
1072,MONDO_0005148,direct_only,ENSG00000168918,INPP5D,inositol polyphosphate-5-phosphatase D,0.2750906472640777,,0.45001341190774496,,,,0.04979628711103189,-0.8156646442360728,,0,0,,0,0,0,0.7,-0.8684619726424581,0.3860399999999998,0,0,0.5,,,,,,,,1
1073,MONDO_0005148,direct_only,ENSG00000136750,GAD2,glutamate decarboxylase 2,0.2750875938271443,,0.4391981038086022,,,,0.26600199565591626,-0.8056260341974628,,0,1,,0,0,0,,-0.7149915750764502,0.786325,-0.11965749999999993,0.5,1,0,,,,,,,
1074,MONDO_0005148,direct_only,ENSG00000112541,PDE10A,phosphodiesterase 10A,0.2747437612589389,,0.45193262512497356,,,,,-0.7643684500827358,1,1,1,255,1,0,0,1,-0.33588290347662475,0,0,0.5,-1,0,,,,,,,
1075,MONDO_0005148,direct_only,ENSG00000283267,FAM237B,family with sequence similarity 237 member B,0.2746980297276571,,0.45185740022855203,,,,,,,,,,,0,1,,,0,0,,,,,,,,,,
1076,MONDO_0005148,direct_only,ENSG00000188064,WNT7B,Wnt family member 7B,0.2746791587277809,,0.4487867048786311,,,,0.06079307976116211,-0.3495863210148924,,0,0,,0,0,1,,-0.842881409714818,0,-0.42693499999999995,0,0.5,0,,,,,,,
1077,MONDO_0005148,direct_only,ENSG00000079387,SENP1,SUMO specific peptidase 1,0.27350731055216565,,0.4456376322696725,,,,0.08522250660392766,-0.7661334804191947,,1,0,,1,0,0,,-0.9082376254146459,0.4021749999999997,0,-1,0.5,0,,,,,,,
1078,MONDO_0005148,direct_only,ENSG00000153233,PTPRR,protein tyrosine phosphatase receptor type R,0.2735004080379264,,0.44689520187616344,,,,0.05984403223822396,-0.5281853281853282,,0,0,,0,1,1,,-0.05373224667943238,0.45966499999999966,0,0.5,0.5,0,,,,,,,
1079,MONDO_0005148,direct_only,ENSG00000095397,WHRN,whirlin,0.27337966854346285,,0.44968879618780644,,,,,-0.2733590733590734,,0,0,,0,0,0,,-0.8760263857914254,0.42117000000000004,0,0,0.5,0,,,,,,,
1080,MONDO_0005148,direct_only,ENSG00000145779,TNFAIP8,TNF alpha induced protein 8,0.2732840606533464,,0.44785971877493647,,,,0.03343619386863916,0.471373414230557,,0,0,,0,0,0,,-0.182655218535544,0.4696950000000001,0,-1,0.5,0,,,,,,,
1081,MONDO_0005148,direct_only,ENSG00000204271,SPIN3,spindlin family member 3,0.2725814209200642,,0.44837573946073367,,,,,,1,1,0,,1,0,0,,,,-0.6124025,0,-1,0,,,,,,,
1082,MONDO_0005148,direct_only,ENSG00000130584,ZBTB46,zinc finger and BTB domain containing 46,0.27239847812822693,,0.4480748124595749,,,,,-0.8161059018201875,,0,0,,0,0,0,,0,0.5670650000000002,0,-1,0.5,0,,,,,,,
1083,MONDO_0005148,direct_only,ENSG00000145723,GIN1,gypsy retrotransposon integrase 1,0.27215682652931195,,0.4460055042352833,,,,0.03343619386863916,0.21136238279095432,,0,0,,0,0,0,,-0.6136507126876101,0.27203000000000016,,0,-1,0,,,,,,,
1084,MONDO_0005148,direct_only,ENSG00000168813,ZNF507,zinc finger protein 507,0.2719032736379702,,0.44726023867551556,,,,,-0.7279646993932708,,0,0,,0,0,0,,,0,0,-1,-1,0,,,,,,,
1085,MONDO_0005148,direct_only,ENSG00000119866,BCL11A,BCL11 transcription factor A,0.271839663434456,,0.42397668317438636,,,,0.46357843092936735,-0.988196359624931,,0,0,,0,0,0,1,-0.49356071355272396,0.9760500000000001,-0.07485,0,0.5,0,,,,,255,,
1086,MONDO_0005148,direct_only,ENSG00000144619,CNTN4,contactin 4,0.27164237784404843,,0.4450832838620077,,,,0.03495602086266821,-0.399669056811914,,0,0,,0,1,1,,,0.756335,-0.11062249999999985,0,0.5,0,,,,,,,
1087,MONDO_0005148,direct_only,ENSG00000173905,GOLIM4,golgi integral membrane protein 4,0.27144806145179823,,0.4465114491949359,,,,,-0.3309431880860453,,0,0,,0,0,0,,,0.09483000000000033,,-1,-1,0,,,,,,,
1088,MONDO_0005148,direct_only,ENSG00000165138,ANKS6,ankyrin repeat and sterile alpha motif domain containing 6,0.271385379466277,,0.44640834208839114,,,,,-0.17220077220077223,,0,0,,0,0,0,,-0.9505577486909428,0.2881749999999997,0,0,0.5,0,,,,,,,
1089,MONDO_0005148,direct_only,ENSG00000168952,STXBP6,syntaxin binding protein 6,0.27127374343810695,,0.44531281310250387,,,,0.01823792392834863,0.26387203530060677,,0,0,,0,0,0,,,0.9285699999999999,0,0,-1,0,,,,,,,
1090,MONDO_0005148,direct_only,ENSG00000102837,OLFM4,olfactomedin 4,0.27103891477786507,,0.4417445355134639,,,,0.06509925624424441,0.33800330943188084,,0,0,,0,1,1,,-0.1973021442123321,0,0,0,0.5,0,,,,,,0.037752104628714346,
1091,MONDO_0005148,direct_only,ENSG00000165495,PKNOX2,PBX/knotted 1 homeobox 2,0.27065052486510677,,0.4451995620692553,,,,,-0.805184776613348,,0,0,,0,0,0,,-0.16131306872844392,0.9470350000000003,0,0,0.5,0,,,,,,,
1092,MONDO_0005148,direct_only,ENSG00000145375,AFG2A,AAA ATPase AFG2A,0.2705810684498218,,0.44508531154015263,,,,,-0.15885273028130176,,0,0,,0,0,0,,-0.4025292816482848,0.24971999999999994,0,0,-1,-1,,,,,,,
1093,MONDO_0005148,direct_only,ENSG00000166166,TRMT61A,tRNA methyltransferase 61A,0.2705805831305547,,0.44508451322681003,,,,,0.36668505239933813,,0,0,,0,0,0,,,0.5674750000000003,0,-1,-1,0,,,,,,,
1094,MONDO_0005148,direct_only,ENSG00000163810,TGM4,transglutaminase 4,0.27014912382744494,,0.44201906359449256,,,,0.04711463681490064,0.0006618863761720384,,0,0,,0,,,,0,0,0,0.5,1,0,,,,,,,
1095,MONDO_0005148,direct_only,ENSG00000233381,AK4P3,adenylate kinase 4 pseudogene 3,0.270107601413489,,0.44430649421720575,,,,,,,,,,,,,,-0.7250609400280691,0.5515700000000002,-0.9775775,0.5,0.5,,,,,,,,
1096,MONDO_0005148,direct_only,ENSG00000233608,TWIST2,twist family bHLH transcription factor 2,0.26960467139939004,,0.4400596017964835,,,,0.06839221473130737,-0.4182018753447325,,0,0,,0,0,0,,-0.8791460919093569,1,-0.515625,0,0.5,0,,,,,,,
1097,MONDO_0005148,direct_only,ENSG00000155542,SETD9,SET domain containing 9,0.2695542237375403,,0.4433962299599535,,,,,0.6519580805295091,,0,0,,0,0,0,,,,,0,0.5,0,,,,,,,
1098,MONDO_0005148,direct_only,ENSG00000157152,SYN2,synapsin II,0.2694781461179162,,0.4330147888877755,,,,0.20512598329412113,-0.6456701599558743,,0,0,,0,0,0,,-0.3262091993635677,0.7594499999999996,-0.08505249999999993,0,1,,,,,,,,
1099,MONDO_0005148,direct_only,ENSG00000188316,ENO4,enolase 4,0.26941642747736083,,0.4017051864444097,,,,0.8292875826169214,-0.14087148372862657,,0,0,,0,0,0,,0,0,0,0.5,0.5,,,,,,,,
1100,MONDO_0005148,direct_only,ENSG00000186666,BCDIN3D,BCDIN3 domain containing RNA methyltransferase,0.2692805446060795,,0.43512316129240625,,,,0.1564577455519908,0.1824600110314396,,0,0,,0,1,0,,,0,0,-1,1,0,,,,,,,
1101,MONDO_0005148,direct_only,ENSG00000171094,ALK,ALK receptor tyrosine kinase,0.26921317411834983,,0.4345476297707677,,,,0.16575198925145912,-0.6186431329288472,1,1,1,,1,1,0,1,-0.8172185383760391,0.3580249999999999,0,0.5,0.5,0,,,,,255,,
1102,MONDO_0005148,direct_only,ENSG00000182747,SLC35D3,solute carrier family 35 member D3,0.26918945327660204,,0.4427962102498626,,,,,0.7125206839492553,,0,0,,0,0,0,,0,0.5673099999999998,0,1,1,0,,,,,,,
1103,MONDO_0005148,direct_only,ENSG00000175600,SUGCT,succinyl-CoA:glutarate-CoA transferase,0.26860496802203637,,0.4418347763878804,,,,,0.30799779371207947,,0,0,255,0,0,0,,-0.6807695150075396,0.20091499999999982,0,0,0.5,0,,,,,,,
1104,MONDO_0005148,direct_only,ENSG00000284713,SMIM38,small integral membrane protein 38,0.26860124456389234,,0.4418286515819672,,,,,,,,,,,0,0,,,0,,0.5,1,,,,,,,,
1105,MONDO_0005148,direct_only,ENSG00000151418,ATP6V1G3,ATPase H+ transporting V1 subunit G3,0.2685977844585694,,0.4387833059833894,,,,0.06079307976116211,0.8541643684500828,,0,0,,0,,,,,0.1949150000000003,0,0.5,1,0,,,,,,,
1106,MONDO_0005148,direct_only,ENSG00000123636,BAZ2B,bromodomain adjacent to zinc finger domain 2B,0.268474471243914,,0.44113273762129374,,,,,-0.809707666850524,1,1,0,,1,0,0,,-0.6267897994470623,0.21586500000000014,0,-1,-1,0,,,,,,0.00974762951200897,
1107,MONDO_0005148,direct_only,ENSG00000071051,NCK2,NCK adaptor protein 2,0.26795569084954995,,0.44076676474076987,,,,,-0.39459459459459456,,0,0,,0,0,0,,,0.80263,-0.2105274999999999,-1,-1,0,,,,,,,
1108,MONDO_0005148,direct_only,ENSG00000138182,KIF20B,kinesin family member 20B,0.2677359107495507,,0.4404052431648558,,,,,-0.14153337010479872,,0,0,,1,0,0,,-0.805536298838079,0,,0,0.5,0,,,,,,,
1109,MONDO_0005148,direct_only,ENSG00000061273,HDAC7,histone deacetylase 7,0.26745999657155695,0.42555155832813474,,,,,0.28799653929881375,-0.8501930501930501,,1,0,,1,0,0,1,-0.8877072543201336,0.3138249999999999,0,-1,-1,0,,,,,,,
1110,MONDO_0005148,direct_only,ENSG00000112137,PHACTR1,phosphatase and actin regulator 1,0.2671684988501752,,0.4373050425564082,,,,0.043337022386408415,-0.8575841147269718,,0,0,,0,1,0,,-0.22175615887608607,0.8448300000000003,0,0,0.5,,,,,,,,
1111,MONDO_0005148,direct_only,ENSG00000151033,LYZL2,lysozyme like 2,0.2670031268439202,,0.4391998692826485,,,,,0.38974076116933265,,0,0,,0,0,1,,-0.022023425318627998,0,-0.9324325000000002,1,1,,,,,,,,
1112,MONDO_0005148,direct_only,ENSG00000133121,STARD13,StAR related lipid transfer domain containing 13,0.2668821404762257,,0.4383929250970496,,,,0.012158615952232422,-0.4282404853833425,,0,1,,0,0,0,,-0.15502371573125923,0.47888499999999967,0,0,-1,0,,,,,,,
1113,MONDO_0005148,direct_only,ENSG00000069275,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1,0.26651517804966934,,0.42388952498145654,,,,0.025963711147996317,-0.8992829564258136,,0,0,,0,0,0,,-0.8080204109755431,0.609055,0,-1,-1,0,0.27861468454540594,,,,,,
1114,MONDO_0005148,direct_only,ENSG00000198535,C2CD4A,C2 calcium dependent domain containing 4A,0.2664027569824793,,0.43654049675509204,,,,0.03343619386863916,0.9904026475455048,,0,0,,0,0,0,,-0.022023425318627998,,-0.4986450000000001,0.5,0.5,0,,,,,,,
1115,MONDO_0005148,direct_only,ENSG00000213341,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,0.2662908736681137,,0.4221491315942916,,,,0.3175827059549615,-0.5562051847766134,0,1,0,255,1,0,0,,-0.9040037682371895,0.7651000000000003,0,-1,-1,0,,,,,,,
1116,MONDO_0005148,direct_only,ENSG00000109452,INPP4B,inositol polyphosphate-4-phosphatase type II B,0.2661109325128588,,0.4299811596855872,,,,0.15502235339096337,-0.519249862107005,,0,0,,0,0,0,,0,0.5292200000000001,0,-1,-1,0,,,,,,,
1117,MONDO_0005148,direct_only,ENSG00000185274,GALNT17,polypeptide N-acetylgalactosaminyltransferase 17,0.26566006807750736,,0.4353188299010854,,,,0.03343619386863916,-0.5554329840044125,,0,0,,0,0,0,,,0.9247500000000002,-0.04264250000000001,0,0.5,0,,,,,,,
1118,MONDO_0005148,direct_only,ENSG00000205189,ZBTB10,zinc finger and BTB domain containing 10,0.26563263479807936,,0.4369455139329522,,,,,-0.5371207942636513,,0,0,,0,0,0,,,0.38576499999999997,0,-1,-1,0,,,,,,,
1119,MONDO_0005148,direct_only,ENSG00000183098,GPC6,glypican 6,0.26556158932222573,,0.43439692632942994,,,,0.04863446380892969,-0.8105901820187534,,0,0,,0,0,0,,-0.6385295444385749,0.8378399999999999,-0.08558500000000002,0,-1,0,,,,,,,
1120,MONDO_0005148,direct_only,ENSG00000167244,IGF2,insulin like growth factor 2,0.2653350170994176,,0.3986743638263279,0.012158615952232422,,,0.7286126852666976,-0.6931053502482074,,0,0,,0,0,1,0.2,-0.9157102649315596,0.19444500000000034,0,0,1,0,,,,,,,
1121,MONDO_0005148,direct_only,ENSG00000188580,NKAIN2,sodium/potassium transporting ATPase interacting 2,0.26464372347712445,,0.4353188299010854,,,,,-0.11152785438499724,,0,0,,0,0,0,,,0.8798099999999998,-0.2548075000000001,0.5,1,0,,,,,,,
1122,MONDO_0005148,direct_only,ENSG00000185518,SV2B,synaptic vesicle glycoprotein 2B,0.2646140949079655,,0.4352700931546081,,,,,-0.46420297848869274,,0,0,,0,0,0,0.5,-0.07423728449275302,0.7437750000000001,-0.09589999999999996,0.5,0.75,0,,,,,,,
1123,MONDO_0005148,direct_only,ENSG00000139304,PTPRQ,protein tyrosine phosphatase receptor type Q,0.26460872079217956,,0.4337414261481845,,,,0.030396539880581056,-0.04798676227247656,,,,,,0,0,,-0.31858285033357275,0.3388449999999999,0,0.5,0.5,,,,,,,,
1124,MONDO_0005148,direct_only,ENSG00000143479,DYRK3,dual specificity tyrosine phosphorylation regulated kinase 3,0.2644981579864163,,0.43507938572210975,,,,,0.10259238830667394,,1,0,,1,0,0,,0,0.4727899999999998,-0.009352499999999963,0,0.5,0,,,,,,,
1125,MONDO_0005148,direct_only,ENSG00000148842,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,0.2641994332798249,,0.43344813601733867,,,,0.02279740491043579,-0.8771097628240485,,0,0,,0,0,0,,-0.854373277582873,0.8914299999999997,0,-1,0.5,0,,,,,,,
1126,MONDO_0005148,direct_only,ENSG00000104760,FGL1,fibrinogen like 1,0.26378992924665906,,0.42006657390461855,,,,0.27695658637191006,0.8222835079977937,,0,0,,0,0,1,,-0.84589761863062,0.10256499999999988,0,0.5,1,0,,,,,,,
1127,MONDO_0005148,direct_only,ENSG00000169855,ROBO1,roundabout guidance receptor 1,0.26372298366326236,,0.4304691069183485,,,,0.0667035180712751,-0.1931605074462217,,0,0,,0,1,0,,-0.9555688561148012,0.6426400000000001,0,0,-1,0,,,,,,,
1128,MONDO_0005148,direct_only,ENSG00000167895,TMC8,transmembrane channel like 8,0.26353422506924107,,0.4295422390832972,,,,0.07903100368951074,0.38940981798124663,,0,0,,0,0,0,,-0.1802968207566119,0,0,0,0.75,0,,,,,,,
1129,MONDO_0005148,direct_only,ENSG00000152518,ZFP36L2,ZFP36 like 2 zinc finger CCCH-type,0.26350693865947206,,0.4328409743980329,,,,0.012158615952232422,0.6917815774958631,,0,0,,0,0,0,,-0.8691156792723955,0.40283500000000033,0,-1,-1,0,,,,,,,
1130,MONDO_0005148,direct_only,ENSG00000130783,CCDC62,coiled-coil domain containing 62,0.26326913409755603,,0.4330577347485306,,,,,0.07622724765581901,,0,0,,0,1,0,,0,0,,0.5,1,0,,,,,,,
1131,MONDO_0005148,direct_only,ENSG00000148120,AOPEP,aminopeptidase O (putative),0.263210734854927,,0.3854526229124417,,,,0.9501809903279971,0.01776061776061777,,0,0,,0,0,0,0.2,-0.10129547872063965,0,0,-1,-1,0,,,,,,,
1132,MONDO_0005148,direct_only,ENSG00000049618,ARID1B,AT-rich interaction domain 1B,0.26290287088032305,,0.43078344987425254,,,,0.03343619386863916,-0.9535576392719249,,0,0,,0,1,0,,-0.930689450883437,0.48145000000000027,0,-1,-1,0,,,,,255,,
1133,MONDO_0005148,direct_only,ENSG00000078142,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3,0.2626086795263966,,0.42885569179157795,,,,0.062312906755191154,0.060562603419746175,1,1,0,,1,0,0,,,0.8985349999999996,0,-1,-1,0,,,,,,,
1134,MONDO_0005148,direct_only,ENSG00000183779,ZNF703,zinc finger protein 703,0.2625547926330897,,0.4318826972816465,,,,,0.728957528957529,,0,0,,0,0,0,,,0.7711849999999998,0,0,0.5,0,,,,,,,
1135,MONDO_0005148,direct_only,ENSG00000198060,MARCHF5,membrane associated ring-CH-type finger 5,0.2623581833013847,,0.42441610298821175,,,,0.14286373743873093,-0.802426916712631,,0,0,,0,0,0,,,1,,-1,-1,0,,,,,,,
1136,MONDO_0005148,direct_only,ENSG00000134222,PSRC1,proline and serine rich coiled-coil 1,0.26215849088385956,,0.4292634793876465,,,,0.039346632178752144,0.4896856039713182,,0,0,,0,0,0,,,0,0,0,0.75,0,,,,,,,
1137,MONDO_0005148,direct_only,ENSG00000160796,NBEAL2,neurobeachin like 2,0.2620182865976856,,0.4164098464492953,,,,0.2918067828535781,-0.5163816878102592,,0,0,,0,0,0,,-0.30994263763485297,0.4026850000000003,0,0,0.5,0,,,,,,,
1138,MONDO_0005148,direct_only,ENSG00000196591,HDAC2,histone deacetylase 2,0.2618786339566599,0.42555155832813474,,,,,0.10437818547220812,-0.8295642581356867,1,1,0,,1,0,0,1,-0.9510211990123876,0.9795099999999998,-0.6260249999999999,-1,-1,0,,,,,,,
1139,MONDO_0005148,direct_only,ENSG00000108840,HDAC5,histone deacetylase 5,0.26167988683772486,0.42555155832813474,,,,,0.09783970708895028,-0.9084390512961942,0,1,0,,1,0,0,1,-0.11714988940104198,0.7459899999999997,0,-1,-1,0,,,,,,,
1140,MONDO_0005148,direct_only,ENSG00000243708,PLA2G4B,phospholipase A2 group IVB,0.2616752565868561,,0.4277002386822401,,,,0.0547137717850459,0.6637617209045781,,0,0,,1,0,0,,-0.6106448458463667,0.07810500000000005,0,0,-1,0,,,,,,,
1141,MONDO_0005148,direct_only,ENSG00000111249,CUX2,cut like homeobox 2,0.26166093060948886,,0.43041236212653916,,,,,-0.8110314396028682,,0,0,255,0,0,0,,-0.6910365408631371,0.010764999999999959,0,0.5,0.5,0,,,,,,,
1142,MONDO_0005148,direct_only,ENSG00000061794,MRPS35,mitochondrial ribosomal protein S35,0.26164156299758956,,0.42848072013307137,,,,0.037995674850726316,0.34583563154991737,,0,0,,0,0,0,,-0.11836215862585653,0,,-1,-1,0,,,,,,,
1143,MONDO_0005148,direct_only,ENSG00000116478,HDAC1,histone deacetylase 1,0.26155880051999253,0.42555155832813474,,,,,0.09385615112474976,-0.6560397131825704,1,1,0,255,1,0,0,1,-0.5571626338178093,0.9688800000000001,-0.6524899999999999,-1,-1,0,,,,,,,
1144,MONDO_0005148,direct_only,ENSG00000090975,PITPNM2,phosphatidylinositol transfer protein membrane associated 2,0.26150022281070057,,0.4220933491063851,,,,0.16109321788377945,-0.8387203530060673,,0,0,,0,0,0,,,0.31801499999999977,0,-1,0.5,0,,,,,,,
1145,MONDO_0005148,direct_only,ENSG00000182568,SATB1,SATB homeobox 1,0.261392017143628,,0.42890614099881125,,,,0.021277577916406734,-0.9509100937672367,,0,0,,0,0,0,,-0.858533107472352,0.9148099999999999,0,-1,0.75,0,,,,,,,
1146,MONDO_0005148,direct_only,ENSG00000163517,HDAC11,histone deacetylase 11,0.26133402169038245,0.42555155832813474,,,,,0.08646126899365278,-0.2769994484280198,,1,0,,1,0,0,1,0,0.6109499999999997,0,0,0.5,0,,,,,,,
1147,MONDO_0005148,direct_only,ENSG00000108468,CBX1,chromobox 1,0.2611620779793978,,0.4280719604354378,,,,0.030396539880581056,-0.4086045228902372,,0,0,,1,0,0,,-0.8207854068232731,1,-0.25675750000000014,-1,-1,0,,,,,,,
1148,MONDO_0005148,direct_only,ENSG00000130675,MNX1,motor neuron and pancreas homeobox 1,0.2611061684303511,,0.42949982046667057,,,,,-0.5270821842250414,,0,0,,0,0,0,,-0.6732181179205032,0.5012450000000002,,0.5,0.75,0,,,,,,,
1149,MONDO_0005148,direct_only,ENSG00000134323,MYCN,"MYCN proto-oncogene, bHLH transcription factor",0.26109568262180666,,0.42293042906690964,,,,0.131042860818505,-0.878323221180364,,0,0,,0,0,0,,-0.971536839340495,0.22413999999999987,0,0.5,0.5,0,,,,,255,,
1150,MONDO_0005148,direct_only,ENSG00000138709,LARP1B,La ribonucleoprotein 1B,0.26030341345378527,,0.4281793494858951,,,,,-0.05868725868725866,,0,0,,0,0,0,,,0,0,-1,-1,0,,,,,,,
1151,MONDO_0005148,direct_only,ENSG00000094631,HDAC6,histone deacetylase 6,0.26013032063588853,0.42555155832813474,,,,,0.04686133231589579,,1,1,0,255,1,0,0,1,-0.16395547050851084,0,0,-1,-1,0,,,,,,,1
