split_id,model_name,n_train,n_val,n_test,validation_mcc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,feature_columns
16,Nuisance_protein_summary_only,1155,289,362,0.19204,0.58698,0.57062,0.5,0.5,0.06077,0.93923,0.10837,0.0,170,11,170,11,0.62072,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
17,Nuisance_protein_summary_only,1156,289,361,0.19458,0.59503,0.58614,0.53463,0.51852,0.93333,0.13812,0.66667,0.1178,25,156,12,168,0.3329,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
18,Nuisance_protein_summary_only,1156,289,361,0.20197,0.59193,0.58086,0.52632,0.51343,0.95556,0.09945,0.66796,0.10638,18,163,8,172,0.3077,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
19,Nuisance_protein_summary_only,1156,289,361,0.18452,0.63398,0.59514,0.6205,0.62791,0.59669,0.64444,0.6119,0.2414,116,64,73,108,0.5272,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
20,Nuisance_protein_summary_only,1156,289,361,0.24742,0.58109,0.5217,0.55125,0.53055,0.9116,0.18889,0.67073,0.14546,34,146,16,165,0.42425,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
21,Nuisance_protein_summary_only,1155,289,362,0.21157,0.55261,0.52762,0.54696,0.54545,0.56354,0.53039,0.55435,0.09397,96,85,79,102,0.52222,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
22,Nuisance_protein_summary_only,1156,289,361,0.20819,0.64386,0.64619,0.52909,0.51488,0.96111,0.09945,0.67054,0.11926,18,163,7,173,0.34561,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
23,Nuisance_protein_summary_only,1156,289,361,0.24944,0.60632,0.57623,0.57341,0.54887,0.81111,0.33702,0.65471,0.16819,61,120,34,146,0.4653,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
24,Nuisance_protein_summary_only,1156,289,361,0.18657,0.62176,0.59417,0.60942,0.57634,0.83425,0.38333,0.68172,0.24386,69,111,30,151,0.46924,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
25,Nuisance_protein_summary_only,1156,289,361,0.24842,0.55114,0.5237,0.53186,0.54412,0.40884,0.65556,0.46688,0.06645,118,62,107,74,0.55619,protein_embedding_l2_norm; protein_embedding_mean; protein_embedding_std; protein_zero_fraction
1,Nuisance_genomic_summary_only,1155,289,362,0.12727,0.60389,0.62896,0.51105,0.50575,0.97238,0.04972,0.66541,0.05731,9,172,5,176,0.29879,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
2,Nuisance_genomic_summary_only,1156,289,361,0.26433,0.56694,0.54799,0.51801,0.54054,0.22222,0.81215,0.31496,0.04258,147,34,140,40,0.57167,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
3,Nuisance_genomic_summary_only,1156,289,361,0.17991,0.61642,0.60641,0.51247,0.7,0.03889,0.98343,0.07368,0.06798,178,3,173,7,0.66742,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
4,Nuisance_genomic_summary_only,1156,289,361,0.17239,0.63312,0.6138,0.51247,0.64706,0.06077,0.96667,0.11111,0.06477,174,6,170,11,0.63717,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
5,Nuisance_genomic_summary_only,1156,289,361,0.25833,0.56937,0.58725,0.58172,0.65625,0.34807,0.81667,0.45487,0.18642,147,33,118,63,0.54662,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
6,Nuisance_genomic_summary_only,1155,289,362,0.219,0.58725,0.59119,0.53315,0.52158,0.8011,0.26519,0.63181,0.07853,48,133,36,145,0.45139,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
7,Nuisance_genomic_summary_only,1156,289,361,0.20229,0.62591,0.60961,0.57618,0.54982,0.82778,0.32597,0.66075,0.17769,59,122,31,149,0.44748,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
8,Nuisance_genomic_summary_only,1156,289,361,0.22401,0.61071,0.6041,0.5374,0.70968,0.12222,0.95028,0.20853,0.12938,172,9,158,22,0.60392,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
9,Nuisance_genomic_summary_only,1156,289,361,0.28184,0.58886,0.59474,0.55679,0.64789,0.25414,0.86111,0.36508,0.14498,155,25,135,46,0.56394,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
10,Nuisance_genomic_summary_only,1156,289,361,0.20922,0.59957,0.59335,0.55956,0.60185,0.35912,0.76111,0.44983,0.13128,137,43,116,65,0.53851,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
11,Nuisance_genomic_summary_only,1155,289,362,0.23259,0.61485,0.62235,0.53039,0.51903,0.82873,0.23204,0.6383,0.07573,42,139,31,150,0.4277,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
12,Nuisance_genomic_summary_only,1156,289,361,0.19829,0.59586,0.58178,0.56233,0.53667,0.89444,0.23204,0.67083,0.16877,42,139,19,161,0.43458,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
13,Nuisance_genomic_summary_only,1156,289,361,0.21017,0.6322,0.63858,0.5928,0.64865,0.4,0.78453,0.49485,0.19995,142,39,108,72,0.53465,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
14,Nuisance_genomic_summary_only,1156,289,361,0.20359,0.57149,0.56515,0.50416,0.58333,0.03867,0.97222,0.07254,0.03039,175,5,174,7,0.69544,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
15,Nuisance_genomic_summary_only,1156,289,361,0.1958,0.59377,0.59573,0.53186,0.6,0.1989,0.86667,0.29876,0.08806,156,24,145,36,0.56495,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
16,Nuisance_genomic_summary_only,1155,289,362,0.1759,0.5951,0.60819,0.57735,0.70588,0.26519,0.8895,0.38554,0.19803,161,20,133,48,0.57246,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
17,Nuisance_genomic_summary_only,1156,289,361,0.20796,0.63364,0.6342,0.54294,0.52396,0.91111,0.1768,0.66531,0.12945,32,149,16,164,0.40058,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
18,Nuisance_genomic_summary_only,1156,289,361,0.19521,0.58677,0.58292,0.54848,0.65455,0.2,0.89503,0.30638,0.13222,162,19,144,36,0.57564,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
19,Nuisance_genomic_summary_only,1156,289,361,0.24919,0.53956,0.53865,0.54571,0.53386,0.74033,0.35,0.62037,0.09813,63,117,47,134,0.45889,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
20,Nuisance_genomic_summary_only,1156,289,361,0.11888,0.6163,0.61308,0.5097,0.64286,0.04972,0.97222,0.09231,0.05683,175,5,172,9,0.70616,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
21,Nuisance_genomic_summary_only,1155,289,362,0.103,0.6193,0.64229,0.56077,0.73913,0.18785,0.9337,0.29956,0.18247,169,12,147,34,0.59076,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
22,Nuisance_genomic_summary_only,1156,289,361,0.2264,0.5767,0.58074,0.54017,0.528,0.73333,0.34807,0.61395,0.0882,63,118,48,132,0.45485,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
23,Nuisance_genomic_summary_only,1156,289,361,0.16931,0.67449,0.62751,0.51247,0.75,0.03333,0.98895,0.06383,0.07569,179,2,174,6,0.7147,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
24,Nuisance_genomic_summary_only,1156,289,361,0.16964,0.57578,0.57751,0.54294,0.55333,0.45856,0.62778,0.50151,0.0876,113,67,98,83,0.51729,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
25,Nuisance_genomic_summary_only,1156,289,361,0.20031,0.55967,0.57374,0.54017,0.56522,0.35912,0.72222,0.43919,0.08729,130,50,116,65,0.54843,hand_genomic_l2_norm; hand_genomic_mean; hand_genomic_std; hand_genomic_zero_fraction; dnabert2_genomic_l2_norm; dnabert2_genomic_mean; dnabert2_genomic_std; dnabert2_genomic_zero_fraction
1,Gene_symbol_length_only,1155,289,362,0.01068,0.50415,0.50495,0.49171,0.49488,0.8011,0.18232,0.61181,-0.0211,33,148,36,145,0.48216,gene_symbol_length
2,Gene_symbol_length_only,1156,289,361,0.03541,0.51667,0.51999,0.5097,0.66667,0.03333,0.98343,0.06349,0.05374,178,3,174,6,0.51484,gene_symbol_length
3,Gene_symbol_length_only,1156,289,361,0.0,0.48249,0.48715,0.50139,0.5,1.0,0.00552,0.66667,0.05256,1,180,0,180,0.48132,gene_symbol_length
4,Gene_symbol_length_only,1156,289,361,0.05872,0.50625,0.51848,0.50416,0.50279,0.99448,0.01111,0.6679,0.03077,2,178,1,180,0.47591,gene_symbol_length
5,Gene_symbol_length_only,1156,289,361,0.0,0.51677,0.51069,0.50416,0.50278,1.0,0.00556,0.66913,0.05285,1,179,0,181,0.49635,gene_symbol_length
6,Gene_symbol_length_only,1155,289,362,0.03235,0.45598,0.47689,0.48066,0.43636,0.1326,0.82873,0.20339,-0.05387,150,31,157,24,0.50231,gene_symbol_length
7,Gene_symbol_length_only,1156,289,361,0.03721,0.47761,0.49667,0.48476,0.49128,0.93889,0.03315,0.64504,-0.066,6,175,11,169,0.48123,gene_symbol_length
8,Gene_symbol_length_only,1156,289,361,0.12727,0.46716,0.48067,0.49584,0.45,0.05,0.93923,0.09,-0.02355,170,11,171,9,0.50992,gene_symbol_length
9,Gene_symbol_length_only,1156,289,361,0.0,0.50379,0.50254,0.50139,0.50139,1.0,0.0,0.6679,0.0,0,180,0,181,0.44846,gene_symbol_length
10,Gene_symbol_length_only,1156,289,361,0.05356,0.47434,0.48429,0.48753,0.49412,0.92818,0.04444,0.64491,-0.05848,8,172,13,168,0.4664,gene_symbol_length
11,Gene_symbol_length_only,1155,289,362,0.05913,0.48016,0.49356,0.49448,0.0,0.0,0.98895,0.0,-0.07454,179,2,181,0,0.51411,gene_symbol_length
12,Gene_symbol_length_only,1156,289,361,0.02953,0.45933,0.48208,0.5097,0.57895,0.06111,0.9558,0.11055,0.03787,173,8,169,11,0.5145,gene_symbol_length
13,Gene_symbol_length_only,1156,289,361,0.0701,0.47859,0.48366,0.49307,0.33333,0.01667,0.96685,0.03175,-0.05286,175,6,177,3,0.5201,gene_symbol_length
14,Gene_symbol_length_only,1156,289,361,0.05494,0.49804,0.50928,0.49307,0.375,0.01657,0.97222,0.03175,-0.03805,175,5,178,3,0.52015,gene_symbol_length
15,Gene_symbol_length_only,1156,289,361,0.04454,0.4915,0.49569,0.51247,0.50825,0.85083,0.17222,0.63636,0.03139,31,149,27,154,0.49402,gene_symbol_length
16,Gene_symbol_length_only,1155,289,362,0.09444,0.46859,0.48625,0.48343,0.48571,0.56354,0.40331,0.52174,-0.03358,73,108,79,102,0.49828,gene_symbol_length
17,Gene_symbol_length_only,1156,289,361,0.11294,0.52063,0.50783,0.48753,0.22222,0.01111,0.96133,0.02116,-0.08839,174,7,178,2,0.50097,gene_symbol_length
18,Gene_symbol_length_only,1156,289,361,0.12713,0.48366,0.4897,0.50139,0.5,0.02222,0.9779,0.04255,0.00042,177,4,176,4,0.50099,gene_symbol_length
19,Gene_symbol_length_only,1156,289,361,0.08319,0.50793,0.5102,0.49861,0.5,0.99448,0.0,0.66543,-0.05256,0,180,1,180,0.47144,gene_symbol_length
20,Gene_symbol_length_only,1156,289,361,0.05872,0.55014,0.54249,0.5097,0.50559,1.0,0.01667,0.67161,0.0918,3,177,0,181,0.49553,gene_symbol_length
21,Gene_symbol_length_only,1155,289,362,0.05918,0.47802,0.49095,0.47238,0.47475,0.51934,0.42541,0.49604,-0.05549,77,104,87,94,0.4975,gene_symbol_length
22,Gene_symbol_length_only,1156,289,361,0.00072,0.54742,0.52685,0.49861,0.45455,0.02778,0.96685,0.05236,-0.01563,175,6,175,5,0.52337,gene_symbol_length
23,Gene_symbol_length_only,1156,289,361,0.0,0.47589,0.48279,0.49861,0.49861,1.0,0.0,0.66543,0.0,0,181,0,180,0.43333,gene_symbol_length
24,Gene_symbol_length_only,1156,289,361,0.0,0.48983,0.50751,0.50139,0.50139,1.0,0.0,0.6679,0.0,0,180,0,181,0.48479,gene_symbol_length
25,Gene_symbol_length_only,1156,289,361,0.0,0.4802,0.49402,0.49861,0.5,0.99448,0.0,0.66543,-0.05256,0,180,1,180,0.47277,gene_symbol_length
