sample_index,gene_symbol,label,split_origin,protein_embedding_cluster
992,GRID1,1,train,65
993,CSTF3,0,train,60
994,GXYLT1,0,train,5
995,TP53INP1,1,train,37
996,ZBED4,0,train,80
997,GRB10,1,train,12
998,TMEM52B,0,train,78
999,ZC3H6,0,train,45
1000,BMF,1,train,76
1001,VPS33B,1,train,52
1002,SCN2A,1,train,78
1003,HDAC4,1,train,3
1004,KIF2A,0,train,38
1005,ZYG11B,0,train,101
1006,PPARG,1,train,106
1007,QSOX1,0,train,22
1008,ZNF827,0,train,29
1009,CLCA4,0,train,2
1010,ACVR2A,1,train,81
1011,SARDH,1,train,26
1012,PRKN,1,train,29
1013,SERGEF,0,train,83
1014,LRRIQ1,0,train,100
1015,NOP14,0,train,70
1016,BEND3,1,train,5
1017,ARHGAP15,0,train,7
1018,CEP192,1,train,22
1019,JAG1,1,train,10
1020,CLK4,0,train,5
1021,TNFAIP3,1,train,81
1022,EPB41L4A,1,train,114
1023,TBL2,1,train,52
1024,IRS1,1,train,106
1025,ZC3H12B,0,train,12
1026,C1ORF174,0,train,27
1027,CTRB2,1,train,23
1028,RSPO3,1,train,31
1029,ERBB4,1,train,59
1030,FAM53A,1,train,69
1031,ILVBL,0,train,95
1032,SINHCAF,1,train,17
1033,REV3L,1,train,46
1034,BCL2L11,1,train,81
1035,RPTN,0,train,53
1036,PXMP4,1,train,110
1037,SOCS2,1,train,52
1038,DYRK2,1,train,56
1039,ALDH16A1,0,train,16
1040,BBX,0,train,22
1041,PTPRM,1,train,14
1042,DYNC2I1,0,train,21
1043,HTR1E,0,train,53
1044,RNLS,1,train,5
1045,RPTOR,1,train,17
1046,DZIP3,0,train,7
1047,MAGEB6,0,train,5
1048,PACRG,1,train,76
1049,GHDC,0,train,22
1050,FAM184A,0,train,42
1051,TNIP1,1,train,28
1052,PTEN,1,train,56
1053,RAB11FIP4,1,train,37
1054,IGF2BP3,1,train,56
1055,RRP8,0,train,109
1056,BIVM,0,train,77
1057,RNASE8,0,train,118
1058,TRIM66,1,train,9
1059,CFAP96,0,train,119
1060,BRD3,1,train,26
1061,CTRB1,1,train,90
1062,ZNF264,0,train,12
1063,SLC45A4,0,train,16
1064,PELO,1,train,114
1065,EXO5,0,train,85
1066,SOX18,0,train,17
1067,GGNBP2,1,train,110
1068,MDH1B,0,train,33
1069,OR11L1,0,train,19
1070,MRAS,1,train,67
1071,FN3K,1,train,81
1072,ACVR1C,1,train,48
1073,VWA5B1,1,train,89
1074,NFATC1,1,train,39
1075,PAX2,1,train,43
1076,SCTR,1,train,76
1077,GRM7,0,train,37
1078,APBB1,0,train,92
1079,ZNF800,1,train,17
1080,NR1H4,1,train,57
1081,SLC28A2,0,train,31
1082,GCK,1,train,36
1083,NFIB,1,train,74
1084,TMEM200C,0,train,40
1085,RIT2,1,train,67
1086,SNAPC2,1,train,118
1087,NLGN1,1,train,71
1088,RASSF9,0,train,5
1089,ZNF276,1,train,11
1090,MNT,1,train,45
1091,GPD2,1,train,28
1092,ZNF599,0,train,53
1093,ZNF404,0,train,91
1094,CAGE1,0,train,72
1095,SGK2,1,train,104
1096,NOC3L,0,train,7
1097,ZNF57,0,train,92
1098,E4F1,0,train,3
1099,C10ORF67,1,train,44
1100,ZCCHC7,1,train,33
1101,SLC26A8,0,train,45
1102,SGPL1,1,train,71
1103,TOX3,1,train,85
1104,DPRX,0,train,48
1105,SIDT1,1,train,30
1106,MAPK8IP1,1,train,25
1107,GUCY1B1,1,train,76
1108,ADAMTS9,1,train,9
1109,PLXND1,1,train,95
1110,C2CD4D,0,train,16
1111,FGD5,1,train,9
1112,METTL25B,0,train,95
1113,ADO,1,train,57
1114,RPS19,0,train,8
1115,APLP2,0,train,81
1116,PGM1,1,train,42
1117,PAPOLG,0,train,71
1118,IFFO2,0,train,26
1119,FHIP2A,0,train,108
1120,LTK,1,train,56
1121,SLC7A5,1,train,16
1122,ABCA13,0,train,3
1123,UNC5C,1,train,37
1124,RREB1,1,train,10
1125,SELL,1,train,74
1126,CAMK2G,1,train,108
1127,SNRNP35,0,train,47
1128,IPCEF1,0,train,66
1129,HOXD11,0,train,53
1130,NDUFS2,1,train,99
1131,CIC,0,train,42
1132,NARS2,0,train,8
1133,HK1,1,train,70
1134,DRC7,0,train,46
1135,CCNF,0,train,32
1136,CHFR,0,train,81
1137,MAGI2,1,train,38
1138,HNRNPA1L2,0,train,116
1139,NPTN,0,train,80
1140,NR3C2,1,train,44
1141,NUP133,1,train,0
1142,VPS13C,1,train,102
1143,COL27A1,1,train,28
1144,TCF7L2,1,train,77
1145,ZNF709,0,train,45
1146,OR8J3,0,train,86
1147,PNPLA3,1,train,106
1148,ZNF26,0,train,21
1149,TSPAN15,1,train,7
1150,SGIP1,1,train,16
1151,SERPINB4,0,train,5
1152,CYP19A1,1,train,17
1153,VRTN,0,train,12
1154,SGCZ,1,train,27
1155,ANK1,1,train,38
1156,PRDM5,1,train,104
1157,ACTMAP,0,train,60
1158,PKP1,0,train,109
1159,RP2,0,train,84
1160,CECR2,0,train,78
1161,PNLIP,1,train,46
1162,ACTN1,1,train,57
1163,ZNF746,1,train,7
1164,PENK,1,train,48
1165,OTOG,0,train,23
1166,SNRNP27,0,train,60
1167,ULBP1,0,train,53
1168,PPP2R3A,1,train,45
1169,POLR3H,0,train,84
1170,INS,1,train,66
1171,KCNJ11,1,train,1
1172,NEMP2,0,train,16
1173,MORF4L2,0,train,46
1174,DYNC2I2,0,train,6
1175,KLB,1,train,109
1176,KIF5A,0,train,5
1177,FBXO11,1,train,16
1178,CA12,0,train,69
1179,PLPP5,0,train,118
1180,OR5W2,0,train,67
1181,PRR5,0,train,119
1182,GMIP,0,train,29
1183,GTF2I,1,train,91
1184,BRAF,1,train,70
1185,LARP4B,1,train,5
1186,RHOG,0,train,69
1187,NDUFS8,1,train,0
1188,RAET1L,0,train,38
1189,TRIM11,0,train,21
1190,NT5C2,1,train,119
1191,VPS72,0,train,13
1192,LIMCH1,0,train,1
1193,RNF150,0,train,50
1194,GPC5,1,train,71
1195,TAL1,1,train,117
1196,ANGPT4,0,train,64
1197,MIB2,0,train,99
1198,GPHN,0,train,92
1199,CALY,0,train,17
1200,KRT3,0,train,21
1201,MDGA2,1,train,45
1202,UNKNOWN,0,train,33
1203,JPH1,1,train,94
1204,LSM11,0,train,81
1205,AKT2,1,train,71
1206,PATJ,1,train,19
1207,PARD3B,1,train,60
1208,PABPC1L,0,train,54
1209,CGRRF1,0,train,16
1210,LORICRIN,0,train,16
1211,TECTA,0,train,17
1212,ANKH,1,train,80
1213,SERBP1,0,train,115
1214,CDK5RAP1,1,train,100
1215,FMNL1,0,train,55
1216,COL6A1,0,train,90
1217,VPS53,1,train,97
1218,CCNH,1,train,90
1219,HELB,0,train,119
1220,DNAJB13,0,train,18
1221,JAZF1,1,train,77
1222,ZNF93,0,train,118
1223,WT1,1,train,78
1224,C9ORF40,0,train,49
1225,TAF8,1,train,89
1226,REM2,0,train,81
1227,RGS17,1,train,3
1228,POLQ,0,train,53
1229,BEND6,0,train,113
1230,POU5F1B,1,train,76
1231,KMT5C,0,train,3
1232,ETS1,1,train,66
1233,NFAT5,1,train,2
1234,GFM2,0,train,111
1235,MYL7,1,train,30
1236,EIF4G3,0,train,33
1237,CDKL5,0,train,100
1238,GCAT,0,train,99
1239,CAT,1,train,11
1240,MRC2,1,train,33
1241,ATXN7,1,train,6
1242,TLE1,1,train,27
1243,CDO1,0,train,102
1244,TBC1D10C,0,train,16
1245,FOLH1,1,train,16
1246,MACF1,1,train,90
1247,ALOXE3,0,train,11
1248,ZNF462,0,train,91
1249,DRD4,1,train,67
1250,RDX,0,train,16
1251,OTULINL,1,train,95
1252,TCF12,1,train,3
1253,ETAA1,1,train,63
1254,SHISAL1,0,train,68
1255,PCBD1,1,train,76
1256,GLB1L,0,train,91
1257,IL23R,1,train,10
1258,ZC3H12C,1,train,119
1259,LRRC10B,1,train,79
1260,EBF1,1,train,84
1261,STARD7,0,train,27
1262,ZBTB20,1,train,5
1263,LIN7A,1,train,64
1264,EXD2,1,val,23
1265,DIPK2B,0,val,28
1266,KCNH7,1,val,52
1267,GOLGA8M,0,val,5
1268,PROB1,0,val,34
1269,REEP3,1,val,6
1270,ZNF346,0,val,90
1271,DDC,1,val,37
1272,QKI,1,val,44
1273,ZBBX,0,val,55
1274,HMG20A,1,val,108
1275,TBCE,1,val,18
1276,RAB29,1,val,71
1277,PEPD,1,val,48
1278,ERAP1,1,val,43
1279,DHFR2,1,val,50
1280,MYH10,0,val,77
1281,SLX4,1,val,29
1282,SLIT2,1,val,92
1283,BCL11B,1,val,33
1284,NDUFAF4,1,val,98
1285,TMEM87A,0,val,90
1286,INHBB,1,val,101
1287,BEND2,0,val,10
1288,SUGP2,0,val,8
1289,TIGAR,1,val,102
1290,CHD7,0,val,61
1291,CDH4,0,val,33
1292,RIPOR1,0,val,34
1293,TMEM191B,0,val,84
1294,EIF4E2,0,val,46
1295,CPSF3,0,val,44
1296,ZNF430,0,val,118
1297,POTEJ,0,val,117
1298,GBP6,1,val,60
1299,CDKAL1,1,val,2
1300,MINDY1,1,val,5
1301,CHERP,0,val,80
1302,ADCY5,1,val,33
1303,EFHB,0,val,84
1304,ESPL1,0,val,100
1305,ZFPM2,1,val,52
1306,ADRB1,1,val,34
1307,TCEANC2,0,val,36
1308,PRR14L,1,val,101
1309,SYTL1,0,val,85
1310,RAD21L1,0,val,55
1311,PCDH17,1,val,84
1312,TET1,1,val,87
1313,DGKB,1,val,21
1314,KRTAP20-1,0,val,114
1315,NKX6-3,1,val,93
1316,ALPK2,0,val,29
1317,ARHGAP5,0,val,3
1318,G6PC2,1,val,95
1319,TSHZ3,1,val,85
1320,SH3RF1,0,val,119
1321,NDUFB1,1,val,3
1322,LRR1,0,val,34
1323,APPBP2,0,val,15
1324,KSR2,1,val,46
1325,BMP8A,1,val,1
1326,ZNF41,0,val,16
1327,CLIC5,1,val,12
1328,CDC6,0,val,5
1329,MGAM2,1,val,26
1330,ERF,0,val,67
1331,IQCN,0,val,99
1332,MLH3,0,val,93
1333,XRN1,0,val,29
1334,OR6C75,0,val,12
1335,BACH2,1,val,42
1336,AGTR2,1,val,4
1337,CDS2,0,val,91
1338,SOX12,1,val,2
1339,FAM90A14,0,val,65
1340,ANKFN1,0,val,8
1341,GP2,1,val,60
1342,ZNF536,1,val,107
1343,TOM1,1,val,39
1344,FAM83G,0,val,2
1345,ANAPC4,1,val,81
1346,FN3KRP,1,val,9
1347,TMEM94,0,val,14
1348,NSD1,1,val,118
1349,SVIL,0,val,17
1350,SHROOM1,0,val,64
1351,FAM200B,0,val,102
1352,ARHGAP19,1,val,5
1353,DDI1,1,val,54
1354,SUN5,0,val,27
1355,PCDHGB1,0,val,86
1356,MEIOC,0,val,84
1357,SCYGR4,0,val,5
1358,TRAF3,1,val,67
1359,KRTAP19-7,0,val,18
1360,GSAP,1,val,113
1361,TCOF1,0,val,98
1362,RHBDL3,0,val,12
1363,RRP12,0,val,102
1364,CFAP44,1,val,29
1365,LCORL,1,val,60
1366,AKAP11,0,val,10
1367,NDUFC1,1,val,18
1368,SMC1A,0,val,91
1369,TENT5C,1,val,64
1370,CLEC18B,0,val,31
1371,PPIP5K2,1,val,80
1372,WASHC2C,0,val,23
1373,PIGS,0,val,110
1374,CRTC1,1,val,25
1375,PLEKHM3,1,val,70
1376,FMO5,1,val,9
1377,CLASP2,0,val,61
1378,RSPH10B2,0,val,7
1379,NRK,0,val,5
1380,REXO2,0,val,119
1381,NDUFA7,1,val,89
1382,SCD5,1,val,118
1383,IKZF5,0,val,101
1384,FAT3,1,val,42
1385,ERVV-1,0,val,81
1386,CCDC92,1,val,54
1387,SLC5A2,1,val,81
1388,RUSC2,0,val,18
1389,TMEM184C,0,val,35
1390,OR5I1,0,val,50
1391,FGGY,0,val,39
1392,RCCD1,1,val,5
1393,SNF8,1,val,45
1394,WDR20,0,val,27
1395,CALCR,1,val,90
1396,MTMR4,0,val,18
1397,LCE2D,0,val,28
1398,APOBR,1,val,5
1399,WDR6,0,val,2
1400,TENM4,1,val,56
1401,SF3B4,1,val,11
1402,FAIM2,1,val,47
1403,NBPF3,0,val,103
1404,CAPN10,1,val,16
1405,C2ORF80,0,val,80
1406,LSG1,0,val,12
1407,HDAC9,1,val,67
1408,RNF180,0,val,14
1409,SPAG6,0,val,93
1410,TRPS1,1,val,2
1411,NOL6,0,val,119
1412,NOL4,1,val,63
1413,FCHSD2,1,val,9
1414,ZNF654,1,val,1
1415,CHIC1,0,val,77
1416,C2ORF68,0,val,112
1417,TLE4,1,val,25
1418,IFIH1,1,val,5
1419,ZNF516,0,val,91
1420,APOE,1,val,64
1421,PEAK3,0,val,26
1422,PCDHGA6,0,val,103
1423,NPC1L1,1,val,117
1424,TBC1D3D,0,val,12
1425,CPEB3,1,val,4
1426,ARL9,0,val,24
1427,OSER1,1,val,86
1428,ZNF354B,0,val,6
1429,SLC12A3,1,val,33
1430,KIF11,1,val,94
1431,PABPC4L,0,val,38
1432,BHMT,1,val,58
1433,SCYGR5,0,val,29
1434,ZNF879,0,val,0
1435,SF3B3,0,val,106
1436,C19ORF18,0,val,78
1437,MAP2K5,1,val,28
1438,DTYMK,0,val,65
1439,TSSK2,0,val,77
1440,CERS3,0,val,57
1441,HCN4,1,val,76
1442,SNX8,0,val,46
1443,TTN,1,val,109
1444,SHBG,1,val,114
1445,LPP,1,val,29
1446,CT45A1,0,val,61
1447,TAFA5,1,val,80
1448,EYA2,1,val,14
1449,SPG11,0,val,34
1450,OR4N4C,0,val,28
1451,CLCNKA,1,val,83
1452,LRIG1,1,val,99
1453,GPC2,0,val,92
1454,RNF6,1,val,91
1455,MANSC4,1,val,109
1456,DCAF4L1,0,val,35
1457,MTHFD2,0,val,2
1458,ENGASE,0,val,39
1459,AFG3L2,0,val,86
1460,ZNF431,0,val,37
1461,DNAJC10,1,val,57
1462,FLACC1,0,val,113
1463,POLGARF,0,val,73
1464,PSMD6,1,val,78
1465,SPDYE13,0,val,95
1466,ABO,1,val,35
1467,TMEM106B,1,val,29
1468,P2RY1,1,val,109
1469,NRG3,0,val,57
1470,SIRPB2,0,val,16
1471,SLC67A1,1,val,26
1472,SNX29,1,val,57
1473,HOXD10,0,val,64
1474,ETS2,1,val,11
1475,TSKU,1,val,24
1476,CGNL1,1,val,61
1477,TSEN15,1,val,46
1478,ST8SIA4,1,val,75
1479,LPA,1,val,88
1480,OR4D1,0,val,53
1481,LINGO2,1,val,21
1482,PCSK1,1,val,111
1483,RIIAD1,0,val,16
1484,SEC16B,1,val,80
1485,MAML3,1,val,76
1486,PPARD,1,val,38
1487,ITPRID2,0,val,80
1488,PDX1,1,val,33
1489,RBM6,1,val,70
1490,ITPKB,0,val,39
1491,ZNHIT6,0,val,79
1492,DENND1A,1,val,113
1493,FMR1,1,val,42
1494,BCORL1,1,val,43
1495,GALNT3,1,val,3
1496,SYNPO2L,0,val,56
1497,RGMA,1,val,109
1498,BIK,0,val,84
1499,BRICD5,0,val,2
1500,WSCD1,0,val,13
1501,PRICKLE1,1,val,17
1502,NDUFAF3,1,val,17
1503,C7ORF25,0,val,27
1504,GCKR,1,val,80
1505,MFHAS1,1,val,47
1506,MCF2,0,val,83
1507,LRRC1,1,val,42
1508,IGSF23,0,val,10
1509,MAN1A2,1,val,36
1510,DCAF10,0,val,118
1511,MEX3D,0,val,105
1512,CCDC18,0,val,52
1513,NDUFC2,1,val,53
1514,ZNFX1,0,val,12
1515,METTL1,0,val,13
1516,NOA1,0,val,67
1517,ACTRT3,0,val,50
1518,RASGRP1,1,val,95
1519,GPR176,1,val,51
1520,APLP1,0,val,95
1521,SLC2A2,1,val,78
1522,TNFRSF19,0,val,62
1523,PIGT,0,val,66
1524,SETD5,1,val,76
1525,PLEKHA4,0,val,43
1526,RBMS1,1,val,60
1527,ADAD1,0,val,46
1528,MBOAT1,1,val,7
1529,SLC39A10,1,val,92
1530,QRICH2,0,val,12
1531,TMEM88,0,val,98
1532,LIPH,1,val,89
1533,TBX3,0,val,18
1534,SENP6,1,val,78
1535,SCGB1D2,0,test,3
1536,KCNB2,1,test,18
1537,HMGB1,1,test,46
1538,GLP2R,1,test,18
1539,SLC30A8,1,test,118
1540,SLC25A22,0,test,101
1541,CDKN2C,1,test,37
1542,UBALD2,0,test,14
1543,HECTD1,0,test,88
1544,TMEM132B,1,test,16
1545,RAP1GAP,1,test,106
1546,RAB41,0,test,86
1547,C1ORF167,0,test,12
1548,GOLT1B,0,test,38
1549,PAAF1,0,test,87
1550,PIAS1,1,test,42
1551,UBASH3A,1,test,82
1552,CEP43,1,test,5
1553,CRISP1,0,test,93
1554,SPMIP10,0,test,81
1555,P4HA2,0,test,33
1556,C10ORF71,0,test,69
1557,NDUFA13,1,test,104
1558,GAL3ST2,0,test,41
1559,XKR6,1,test,80
1560,ZFP64,1,test,25
1561,LINGO1,1,test,33
1562,EXOC2,0,test,22
1563,CERKL,1,test,16
1564,B3GNT7,0,test,23
1565,CCDC83,0,test,18
1566,PRTG,0,test,91
1567,ARL6IP6,1,test,102
1568,RIMBP2,0,test,61
1569,NDUFAF1,1,test,22
1570,GLIS3,1,test,45
1571,TOR1AIP2,0,test,63
1572,SDK2,0,test,86
1573,IGFLR1,0,test,12
1574,MBNL1,1,test,96
1575,RALY,1,test,85
1576,TMEM208,0,test,87
1577,SEPTIN12,0,test,62
1578,PRR12,0,test,26
1579,GRP,1,test,3
1580,KLHL42,1,test,8
1581,HSD17B12,1,test,33
1582,CEP128,0,test,95
1583,MARCKS,1,test,103
1584,H2BC14,0,test,46
1585,PPP2R1A,0,test,1
1586,C3ORF70,1,test,14
1587,NDUFS1,1,test,33
1588,PPP1R3B,1,test,53
1589,HYLS1,0,test,14
1590,TM4SF1,1,test,109
1591,GIGYF1,1,test,104
1592,KDM5A,1,test,0
1593,CENPW,1,test,37
1594,ZNF236,1,test,91
1595,NDUFS3,1,test,89
1596,NCALD,1,test,18
1597,KLF14,1,test,42
1598,HLCS,0,test,63
1599,SPHKAP,1,test,61
1600,ZZEF1,1,test,53
1601,ADGRG4,1,test,5
1602,SMPDL3A,0,test,76
1603,PIP5K1A,0,test,33
1604,GRM4,1,test,76
1605,ADM5,0,test,42
1606,ENPP6,0,test,118
1607,ZNF747,0,test,73
1608,EPC2,1,test,103
1609,RNF138,1,test,55
1610,FGFR4,1,test,73
1611,CTBP1,1,test,25
1612,PCDH11Y,0,test,26
1613,AFF3,1,test,21
1614,GAA,1,test,8
1615,SYF2,0,test,5
1616,NPEPL1,0,test,25
1617,KIF7,0,test,61
1618,ARF3,0,test,11
1619,C10ORF143,0,test,102
1620,MMRN2,0,test,0
1621,SYTL2,0,test,109
1622,SPRED2,1,test,42
1623,TBC1D3,0,test,26
1624,NDUFB3,1,test,28
1625,SNX11,1,test,25
1626,ZNF670,0,test,93
1627,TFRC,1,test,114
1628,ZFPM1,1,test,114
1629,GATD3,0,test,34
1630,CCND1,1,test,38
1631,TPCN2,1,test,114
1632,IFNLR1,1,test,28
1633,AP3S2,1,test,21
1634,NXPH3,0,test,4
1635,AKR1C8,0,test,66
1636,IPO7,0,test,23
1637,MIER2,0,test,26
1638,SPINK2,0,test,109
1639,GPR12,0,test,43
1640,RPAP1,1,test,25
1641,IGF2BP2,1,test,67
1642,SHROOM3,1,test,76
1643,SLCO4A1,1,test,61
1644,COLGALT1,0,test,52
1645,RPL7,0,test,57
1646,KRI1,0,test,99
1647,CEMIP2,0,test,61
1648,CADPS,1,test,45
1649,PRC1,1,test,71
1650,FOXP1,1,test,37
1651,CRY2,1,test,36
1652,FHIT,1,test,90
1653,APIP,1,test,19
1654,PEAK1,1,test,6
1655,INTS2,0,test,45
1656,SAFB2,0,test,106
1657,KLHDC10,0,test,115
1658,ANKRD24,0,test,30
1659,ARL15,1,test,89
1660,SLC2A7,0,test,65
1661,RNF166,1,test,43
1662,SLC16A11,1,test,114
1663,SFI1,1,test,115
1664,NELL1,1,test,36
1665,IDE,1,test,77
1666,EIF5A2,1,test,21
1667,LRFN2,1,test,26
1668,SCN4A,1,test,34
1669,PLA2G6,1,test,98
1670,DDX47,0,test,50
1671,SMC2,0,test,73
1672,TLCD5,0,test,105
1673,ARHGAP22,1,test,17
1674,TFAP2B,1,test,43
1675,ZBTB24,0,test,78
1676,NUP160,1,test,114
1677,AFAP1L2,1,test,3
1678,SLC25A52,0,test,67
1679,SLC12A4,0,test,62
1680,PTPN21,0,test,4
1681,OCRL,0,test,80
1682,POC5,1,test,6
1683,ANKRD55,1,test,86
1684,LDOC1,0,test,2
1685,RBM27,0,test,12
1686,FOXA2,1,test,50
1687,SLC30A4,0,test,30
1688,PI4KB,0,test,99
1689,ETV1,1,test,55
1690,PAMR1,1,test,82
1691,MITF,1,test,63
1692,BRWD3,0,test,61
1693,LIPF,1,test,21
1694,FRMPD3,0,test,92
1695,RAB3GAP2,0,test,103
1696,KDM2B,1,test,114
1697,CEP104,0,test,8
1698,ROS1,0,test,93
1699,SEMA6C,0,test,74
1700,ZGRF1,0,test,33
1701,GRM8,1,test,119
1702,SIRPA,1,test,18
1703,RGS6,1,test,38
1704,SGSM1,1,test,53
1705,TNFRSF11A,1,test,76
1706,NDUFB2,1,test,94
1707,PDILT,1,test,17
1708,PGRMC2,1,test,102
1709,PKD1,1,test,22
1710,MCM8,0,test,96
1711,KCNU1,1,test,81
1712,CCDC22,0,test,60
1713,NEUROD1,1,test,19
1714,PGLS,0,test,18
1715,ATP5F1E,1,test,112
1716,LMAN1,0,test,67
1717,KRT81,0,test,58
1718,ASIC1,0,test,85
1719,CROCC2,0,test,7
1720,MRPS18C,0,test,27
1721,NDUFS4,1,test,118
1722,TNRC6C,0,test,13
1723,SSPN,1,test,78
1724,IFT122,0,test,67
1725,MED23,1,test,10
1726,ATP9B,0,test,56
1727,PTPN22,1,test,115
1728,HES2,0,test,104
1729,OR1L1,0,test,41
1730,NDUFV2,1,test,46
1731,FFAR1,1,test,94
1732,DYNC2H1,1,test,87
1733,APOL2,0,test,30
1734,CCDC6,0,test,22
1735,FAM90A3,0,test,97
1736,CRHR2,1,test,98
1737,TRAF3IP2,1,test,94
1738,CAND2,1,test,37
1739,AOAH,1,test,33
1740,ABCD2,0,test,118
1741,RHOT2,0,test,60
1742,AAR2,0,test,36
1743,NDNF,0,test,8
1744,PML,1,test,86
1745,ANKRD17,0,test,118
1746,UBE3C,1,test,92
1747,SIX3,1,test,37
1748,MEOX2,1,test,9
1749,MS4A7,0,test,13
1750,SLC35F1,0,test,44
1751,PLEKHH2,1,test,14
1752,HERC1,1,test,101
1753,TAF9B,0,test,27
1754,NDUFB6,1,test,3
1755,GOLGA8B,0,test,114
1756,SLC5A1,1,test,19
1757,DPYSL5,0,test,32
1758,TEAD2,0,test,78
1759,NPIPB11,0,test,85
1760,IL1RAPL2,0,test,6
1761,JPT2,0,test,95
1762,NRXN3,1,test,80
1763,CLRN1,0,test,15
1764,ZMYM1,0,test,109
1765,MKRN2,0,test,119
1766,RNPS1,0,test,97
1767,SLC30A1,1,test,52
1768,ZNF775,0,test,91
1769,CYTH1,1,test,43
1770,ZNF699,0,test,114
1771,USP44,1,test,37
1772,ANKMY1,0,test,76
1773,LCE3E,0,test,84
1774,USP29,0,test,40
1775,GAREM1,0,test,50
1776,SREBF1,1,test,14
1777,VMA21,0,test,52
1778,DHX8,0,test,28
1779,CHST2,0,test,91
1780,NDUFB7,1,test,106
1781,OR6A2,0,test,56
1782,SORBS2,1,test,100
1783,ABCA1,1,test,12
1784,FSBP,0,test,42
1785,MTOR,1,test,80
1786,SGO2,0,test,77
1787,GSC2,0,test,38
1788,L2HGDH,1,test,18
1789,OR2W3,0,test,11
1790,PHKB,0,test,42
1791,KDM4F,0,test,86
1792,HHIPL1,1,test,89
1793,NDST3,0,test,45
1794,MAST2,1,test,57
1795,ANKRD28,1,test,33
1796,DNM3,1,test,33
1797,FOCAD,1,test,3
1798,USP17L3,0,test,111
1799,MATCAP2,0,test,31
1800,IGF2BP1,1,test,90
1801,MDM4,1,test,14
1802,PIM3,1,test,18
1803,AKAP3,0,test,18
1804,ZBTB38,1,test,14
1805,TPR,0,test,63
