rank_by_score,disease_id,evidence_mode,target_id,target_symbol,target_name,association_score,ds_clinical_precedence,ds_gwas_credible_sets,ds_eva,ds_genomics_england,ds_eva_somatic,ds_europepmc,prio_geneticConstraint,prio_hasHighQualityChemicalProbes,prio_hasLigand,prio_hasPocket,prio_hasSafetyEvent,prio_hasSmallMoleculeBinder,prio_isInMembrane,prio_isSecreted,prio_maxClinicalStage,prio_mouseKOScore,prio_mouseOrthologMaxIdentityPercentage,prio_paralogMaxIdentityPercentage,prio_tissueDistribution,prio_tissueSpecificity,prio_geneEssentiality,ds_impc,ds_gene_burden,ds_uniprot_variants,ds_uniprot_literature,prio_isCancerDriverGene,ds_expression_atlas,prio_hasTEP,rank_by_score_clean,label,label_name,label_source,label_rule,label_version,disease_name,positive_tier,has_ot_gwas_credible_sets,has_ot_clinical_precedence,has_ot_europepmc,has_ot_gene_burden,has_ot_eva,n_ot_evidence_datasources_present,gwas_n_association_mentions,gwas_n_unique_snps,gwas_n_unique_studies,gwas_n_unique_pubmed_ids,gwas_n_unique_regions,gwas_max_pvalue_mlog,gwas_reported_gene_mentions,gwas_has_reported_gene_support,has_gwas_catalog_strict_t2d_mapping
173,MONDO_0005148,direct_only,ENSG00000176697,BDNF,brain derived neurotrophic factor,0.5103740850947738,,0.791819069333913,,,,0.9541509271930372,-0.93557639271925,,0.0,0.0,255.0,1.0,0.0,1.0,,-0.8849201471761644,0.8785400000000003,0.0,0.5,0.5,0.0,,,,,,,,173,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,6,5,6,5,1,17.69897000433602,1,1,1
174,MONDO_0005148,direct_only,ENSG00000006468,ETV1,ETS variant transcription factor 1,0.509757901465538,,0.8354818299074482,,,,0.0606242100951588,-0.4920022062879206,,0.0,0.0,,0.0,0.0,0.0,,-0.6121941561145569,0.8951799999999999,-0.0985324999999999,0.0,0.5,0.0,,,,,,,,174,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,16,11,14,10,1,24.69897000433602,3,1,1
175,MONDO_0005148,direct_only,ENSG00000173517,PEAK1,pseudopodium enriched atypical kinase 1,0.5080681892268507,,0.8265513039957315,,,,0.1836457617785105,-0.6642029784886927,,1.0,0.0,,1.0,0.0,0.0,,-0.8189484219659445,0.2926699999999996,0.0,-1.0,-1.0,0.0,,,,,,,,175,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,7,7,3,3,1,39.69897000433602,0,0,1
176,MONDO_0005148,direct_only,ENSG00000124780,KCNK17,potassium two pore domain channel subfamily K member 17,0.5078264844236324,,0.832290019436225,,,,0.0609197320106645,0.7280750137892995,,0.0,0.0,,1.0,1.0,0.0,,,,0.0,0.0,0.5,0.0,,,,,,,,176,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,5,2,5,5,1,17.30102999566398,0,0,1
177,MONDO_0005148,direct_only,ENSG00000186635,ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",0.5071680474403286,,0.8104490158988877,,,,0.4760782259499647,-0.6059569773855489,,0.0,0.0,,0.0,1.0,0.0,,-0.1606405871069294,0.5241399999999998,0.0,-1.0,-1.0,0.0,,,,,,,,177,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,32,12,30,21,1,87.22184874961636,12,1,1
178,MONDO_0005148,direct_only,ENSG00000150347,ARID5B,AT-rich interaction domain 5B,0.5068529476363187,,0.8053906828549835,,,,0.5668785818062363,-0.9503585217870932,,0.0,0.0,255.0,0.0,1.0,0.0,,-0.866708459440931,0.402355,0.0,-1.0,0.5,0.0,,,,,,,,178,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,4,4,4,4,1,15.69897000433602,1,1,1
179,MONDO_0005148,direct_only,ENSG00000095981,KCNK16,potassium two pore domain channel subfamily K member 16,0.5063347248899892,,0.8143063562378209,,,,0.3715163728004549,0.6585769442912299,,0.0,0.0,,0.0,0.0,0.0,,-0.0590170502395667,0.3707500000000003,0.0,0.5,0.75,0.0,,,,,,,,179,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,12,5,10,9,1,31.522878745280337,5,1,1
180,MONDO_0005148,direct_only,ENSG00000091844,RGS17,regulator of G protein signaling 17,0.5057855423882422,,0.826756516942451,,,,0.1044458884229965,-0.4255929398786542,,1.0,0.0,,1.0,0.0,0.0,,,0.5952399999999998,-0.0833325,0.5,0.5,0.0,,,,,,,,180,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,7,5,7,4,1,21.0,0,0,1
181,MONDO_0005148,direct_only,ENSG00000158321,AUTS2,activator of transcription and developmental regulator AUTS2,0.5055294310058717,,0.8303416659917096,,,,0.0243172319044648,-0.9360176503033646,,0.0,0.0,,0.0,1.0,0.0,,-0.7690601188826984,0.6664000000000001,0.0,-1.0,-1.0,0.0,,,,,,,,181,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,23,22,12,9,1,43.0,4,1,1
182,MONDO_0005148,direct_only,ENSG00000171791,BCL2,BCL2 apoptosis regulator,0.5045053531339904,,0.7942767789626198,,,,0.7119243657295513,-0.8292333149476007,1.0,1.0,0.0,255.0,1.0,0.0,0.0,1.0,-0.9497078109013426,0.5188299999999998,0.0,-1.0,-1.0,0.0,,,,,,,,182,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,21,4,18,13,1,32.30102999566398,1,1,1
183,MONDO_0005148,direct_only,ENSG00000153815,CMIP,c-Maf inducing protein,0.5039938572353369,,0.8109892941960736,,,,0.3608466227841763,-0.9631549917264204,,0.0,0.0,,0.0,0.0,0.0,,,0.9223799999999998,,-1.0,-1.0,0.0,,,,,,,,183,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,17,4,15,12,1,33.0,7,1,1
184,MONDO_0005148,direct_only,ENSG00000123612,ACVR1C,activin A receptor type 1C,0.5038250538967461,,0.8192401319408738,,,,0.1902764944037596,-0.5690016547159404,,0.0,0.0,,0.0,0.0,0.0,,-0.4157412905486202,0.6450299999999999,-0.1734275,0.5,1.0,0.0,,,,,,,,184,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,5,3,5,4,1,19.0,0,0,1
185,MONDO_0005148,direct_only,ENSG00000174697,LEP,leptin,0.5011947770907835,,0.7759834847171077,,,,0.9688773264644408,0.2985107556536128,,0.0,0.0,255.0,0.0,1.0,1.0,,-0.9855914711586846,0.1616750000000003,,0.0,0.75,0.0,,,,,,,,185,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,8,7,7,7,1,32.69897000433602,3,1,1
186,MONDO_0005148,direct_only,ENSG00000107679,PLEKHA1,pleckstrin homology domain containing A1,0.5003547782645501,,0.7965774664840908,,,,0.5293630054160251,-0.0231660231660231,,0.0,0.0,,1.0,0.0,0.0,,-0.7488928377087917,0.0,0.0,-1.0,-1.0,0.0,,,,,,,,186,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,16,7,15,12,1,32.0,8,1,1
187,MONDO_0005148,direct_only,ENSG00000169760,NLGN1,neuroligin 1,0.5003541179531248,,0.8222846170957223,,,,0.0151982699402905,-0.8936569222283508,,0.0,0.0,,0.0,1.0,0.0,,-0.170737797500802,0.7924100000000003,-0.2615649999999999,0.0,0.5,0.0,,,,,,,,187,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,4,4,3,2,1,11.397940008672036,0,0,1
188,MONDO_0005148,direct_only,ENSG00000111276,CDKN1B,cyclin dependent kinase inhibitor 1B,0.5003360685514371,,0.7932194794319465,,,,0.5959072253112222,-0.2816326530612245,,0.0,0.0,,0.0,0.0,0.0,,-0.9501325301310688,0.3434350000000002,0.0,-1.0,-1.0,0.0,,,,,255.0,,,188,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,7,1,7,6,1,15.154901959985745,1,1,1
189,MONDO_0005148,direct_only,ENSG00000080293,SCTR,secretin receptor,0.5001973915505248,,0.8142018159157426,,,,0.1716982329087821,0.5825703254274683,,0.0,0.0,,1.0,1.0,0.0,1.0,-0.3460711531416544,0.0,0.0,0.5,0.75,0.0,,,,,,,,189,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_A_high_confidence_ge_0.50,1,0,1,0,0,2,8,2,7,6,1,11.30102999566398,2,1,1
190,MONDO_0005148,direct_only,ENSG00000169856,ONECUT1,one cut homeobox 1,0.4994057881856625,,0.8105351925619334,,,,0.2189881514589768,-0.2495311638168781,,0.0,0.0,255.0,0.0,0.0,0.0,,-0.8952902218076381,0.946235,-0.1989249999999998,0.5,0.75,0.0,,,,,,,,190,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,2,2,2,2,1,13.0,1,1,1
191,MONDO_0005148,direct_only,ENSG00000137731,FXYD2,FXYD domain containing ion transport regulator 2,0.4991619697503264,0.0906661236771331,0.7932428008861215,,,,0.2328392482757781,0.4396028681742967,,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,191,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,1,1,0,0,3,3,1,3,3,1,17.522878745280337,0,0,1
192,MONDO_0005148,direct_only,ENSG00000004399,PLXND1,plexin D1,0.4988278689475506,,0.8171987909678246,,,,0.0667035180712751,-0.7942636514065086,,0.0,0.0,,0.0,1.0,0.0,,-0.9723981942441328,0.5714300000000001,0.0,-1.0,-1.0,0.0,,,,,,,,192,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,5,4,5,4,1,11.221848749616356,0,0,1
193,MONDO_0005148,direct_only,ENSG00000058404,CAMK2B,calcium/calmodulin dependent protein kinase II beta,0.4986097091819677,,0.8076300811199918,,,,0.2509005900512091,-0.7397683397683398,,1.0,0.0,,1.0,1.0,0.0,,-0.703251971785668,0.84985,-0.29054,0.0,0.75,0.0,,,,,,,,193,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,8,3,6,5,1,50.0,0,0,1
194,MONDO_0005148,direct_only,ENSG00000090621,PABPC4,poly(A) binding protein cytoplasmic 4,0.498089644286333,,0.8131426442814748,,,,0.1235399815579815,-0.8777716492002207,,0.0,0.0,,0.0,0.0,0.0,,-0.4157412905486202,0.6742400000000004,-0.3712125,-1.0,0.5,0.0,,,,,,,,194,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,8,2,8,8,1,61.30102999566398,0,0,1
195,MONDO_0005148,direct_only,ENSG00000112282,MED23,mediator complex subunit 23,0.4974621959720667,,0.8111411431309119,,,,0.1429279079118121,-0.3377826806398235,,1.0,0.0,,1.0,0.0,0.0,,-0.8690586392731997,0.8135950000000001,,-1.0,-1.0,0.0,,,,,,,,195,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,6,6,6,6,1,21.522878745280337,1,1,1
196,MONDO_0005148,direct_only,ENSG00000073849,ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",0.4971367653624826,,0.8064703305542543,,,,0.2256379866087551,-0.3924986210700496,,1.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,-1.0,0.75,0.0,,,,,,,,196,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,21,6,17,14,1,43.22184874961636,6,1,1
197,MONDO_0005148,direct_only,ENSG00000171862,PTEN,phosphatase and tensin homolog,0.4965380712966283,,0.7721822272937423,,,,0.8917039262663407,-0.4570325427468285,,0.0,0.0,255.0,1.0,0.0,0.0,,-0.9671522974652664,,0.0,-1.0,-1.0,0.0,,,,,255.0,,,197,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,11,8,11,9,1,19.096910013008056,3,1,1
198,MONDO_0005148,direct_only,ENSG00000130749,ZC3H4,zinc finger CCCH-type containing 4,0.4964458736246136,,0.8166157654374503,,,,,-0.9674572531715387,,0.0,0.0,,0.0,0.0,0.0,,-0.5750924170927881,0.5778950000000002,0.0,-1.0,-1.0,0.0,,,,,,,,198,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,0,0,0,1,9,4,9,6,1,17.69897000433602,1,1,1
199,MONDO_0005148,direct_only,ENSG00000164161,HHIP,hedgehog interacting protein,0.4955120850962562,,0.8082846154776773,,,,0.1359027747216907,-0.8921125206839493,,0.0,1.0,,0.0,0.0,1.0,,-0.68041509732095,0.7142850000000003,0.0,0.0,0.5,0.0,,,,,,,,199,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,3,3,3,2,1,10.0,0,0,1
200,MONDO_0005148,direct_only,ENSG00000150593,PDCD4,programmed cell death 4,0.4939903129187284,,0.7991725247956039,,,,0.2680805947801246,0.7782680639823496,,0.0,0.0,,1.0,0.0,0.0,,-0.5529877361101021,0.8400849999999999,,-1.0,0.5,0.0,,,,,,,,200,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,1,1,1,1,1,10.154901959985745,0,0,1
201,MONDO_0005148,direct_only,ENSG00000152601,MBNL1,muscleblind like splicing regulator 1,0.4935582715007489,,0.8063945020297741,,,,0.1094275435700918,-0.8739106453392168,,0.0,0.0,,1.0,0.0,0.0,,0.0,0.8167549999999999,-0.15576,-1.0,-1.0,0.0,,,,,,,,201,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,19,15,11,9,2,20.154901959985743,5,1,1
202,MONDO_0005148,direct_only,ENSG00000104447,TRPS1,transcriptional repressor GATA binding 1,0.4931608586906165,,0.8069566497291171,,,,0.0851103116656269,-0.9910645339216768,,0.0,0.0,,0.0,0.0,0.0,,-0.8291637904203621,0.6213299999999997,0.0,-1.0,1.0,0.0,,,,,,,,202,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,9,7,7,5,1,27.154901959985743,0,0,1
203,MONDO_0005148,direct_only,ENSG00000101680,LAMA1,laminin subunit alpha 1,0.4917571933804115,,0.7796150418755581,,,,0.5857640117242778,-0.4732487589630446,,0.0,0.0,,0.0,0.0,1.0,1.0,-0.8743104501340784,0.0,0.0,0.5,0.5,0.0,,,,,,,,203,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,12,4,12,9,1,25.69897000433602,4,1,1
204,MONDO_0005148,direct_only,ENSG00000184144,CNTN2,contactin 2,0.4907747570754072,,0.8057673823454466,,,,0.030396539880581,-0.6416988416988417,,0.0,0.0,,0.0,1.0,0.0,,-0.2257428957797491,0.5240400000000001,0.0,0.5,1.0,0.0,,,,,,,,204,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,4,3,3,3,1,21.154901959985743,0,0,1
205,MONDO_0005148,direct_only,ENSG00000221818,EBF2,EBF transcription factor 2,0.4907743531340527,,0.8072865448866201,,,,,-0.8022062879205736,,0.0,0.0,,0.0,0.0,0.0,,-0.9399716887724358,0.9739150000000002,-0.5521750000000001,0.0,0.5,0.0,,,,,,,,205,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,0,0,0,1,5,4,4,3,1,22.096910013008056,0,0,1
206,MONDO_0005148,direct_only,ENSG00000198901,PRC1,protein regulator of cytokinesis 1,0.4907297097724581,,0.7969894119636196,,,,0.2044739596617255,-0.429453943739658,,0.0,0.0,,0.0,1.0,0.0,,0.0,0.1935499999999997,,-1.0,0.5,-1.0,,,,,,,,206,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,20,9,18,13,1,58.30102999566398,11,1,1
207,MONDO_0005148,direct_only,ENSG00000151465,CDC123,cell division cycle 123,0.4904215393634759,,0.7909286632703033,,,,0.3155505950792399,0.0793160507446222,,0.0,0.0,,0.0,0.0,0.0,,-0.7082783560258282,0.6130949999999998,,-1.0,-1.0,-1.0,,,,,,,,207,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,42,10,39,30,1,179.0,17,1,1
208,MONDO_0005148,direct_only,ENSG00000168056,LTBP3,latent transforming growth factor beta binding protein 3,0.4904101121943476,,0.804675154363772,,,,0.0349560208626682,-0.2482073910645339,,0.0,0.0,,0.0,0.0,1.0,,-0.7106536922079421,0.5433599999999998,0.0,-1.0,0.5,0.0,,,,,,0.0118998356329896,,208,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,3,4,1,4,3,1,26.30102999566398,0,0,1
209,MONDO_0005148,direct_only,ENSG00000163083,INHBB,inhibin subunit beta B,0.4900419829460368,,0.7993946127647462,,,,0.1337447754745566,-0.6223938223938223,,0.0,0.0,,0.0,0.0,1.0,,-0.8964952985227426,0.8648650000000003,0.0,0.0,0.5,0.0,,,,,,,,209,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,2,2,1,1,1,8.096910013008056,0,0,1
210,MONDO_0005148,direct_only,ENSG00000077063,CTTNBP2,cortactin binding protein 2,0.4895606124346159,,0.8052900335991426,,,,,-0.3274131274131274,,0.0,0.0,,0.0,0.0,0.0,,-0.3161002203670579,0.2543599999999998,0.0,0.0,-1.0,0.0,,,,,,,,210,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,0,0,0,1,5,2,5,4,1,10.221848749616356,2,1,1
211,MONDO_0005148,direct_only,ENSG00000119772,DNMT3A,DNA methyltransferase 3 alpha,0.4892305530757744,,0.7996150746143939,,,,0.1026407280377074,1.0,,1.0,0.0,,1.0,0.0,0.0,1.0,-0.8506486852949796,0.7971499999999999,0.0,-1.0,-1.0,0.0,,,,,255.0,,,211,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,4,3,4,3,1,17.30102999566398,0,0,1
212,MONDO_0005148,direct_only,ENSG00000102908,NFAT5,nuclear factor of activated T cells 5,0.4866042095677806,,0.775515026101373,,,,0.4982389854133057,-0.9338113623827908,,0.0,0.0,,0.0,0.0,0.0,,-0.9371862448835456,0.6287950000000002,0.0,0.0,-1.0,0.0,,,,,,,,212,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,11,8,10,8,1,21.69897000433602,2,1,1
213,MONDO_0005148,direct_only,ENSG00000131724,IL13RA1,interleukin 13 receptor subunit alpha 1,0.4862778309676785,,0.7945031650123069,,,,0.1077388469100595,,,0.0,0.0,,0.0,0.0,0.0,0.7,-0.2420547351028107,0.0,0.0,-1.0,-1.0,0.0,,,,,,,,213,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,5,5,5,4,1,23.39794000867204,1,1,1
214,MONDO_0005148,direct_only,ENSG00000135540,NHSL1,NHS like 1,0.4858214282024276,,0.7991393594650497,,,,,-0.5205736348593492,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,,,,214,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,0,0,0,1,6,4,5,5,1,17.397940008672037,0,0,1
215,MONDO_0005148,direct_only,ENSG00000203760,CENPW,centromere protein W,0.4856264120683752,,0.7947973638110116,,,,0.0804241784340373,-0.6313292884721455,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,-1.0,0.5,-1.0,,,,,,,,215,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,16,4,14,10,1,64.52287874528034,5,1,1
216,MONDO_0005148,direct_only,ENSG00000109670,FBXW7,F-box and WD repeat domain containing 7,0.484467803729282,,0.7886500639742722,,,,0.1652537203471581,-0.967015995587424,,0.0,0.0,,0.0,0.0,0.0,,-0.9413885914346168,0.0,0.0,-1.0,0.5,0.0,,,,,255.0,,,216,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,5,5,4,4,1,24.69897000433602,0,0,1
217,MONDO_0005148,direct_only,ENSG00000166228,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,0.483687792896382,,0.7877392562561507,,,,0.1578087028800166,0.7851075565361281,,0.0,0.0,,0.0,0.0,0.0,,-0.2218559287531107,0.951925,-0.0144225,-1.0,0.5,0.0,,,,,,,,217,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,2,1,2,1,1,9.397940008672036,0,0,1
218,MONDO_0005148,direct_only,ENSG00000152359,POC5,POC5 centriolar protein,0.4835570972676101,,0.7931814056820534,,,,0.0446660266578538,0.0456701599558742,,0.0,0.0,,0.0,0.0,0.0,,-0.548911869075967,0.0,,-1.0,-1.0,0.0,,,,,,,,218,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,9,2,9,6,1,15.69897000433602,5,1,1
219,MONDO_0005148,direct_only,ENSG00000074755,ZZEF1,zinc finger ZZ-type and EF-hand domain containing 1,0.4821881166028673,,0.7916430107783634,,,,0.030396539880581,-0.6693877551020408,,0.0,0.0,,0.0,0.0,0.0,,-0.2989142177752879,0.5457599999999999,,-1.0,-1.0,0.0,,,,,,,,219,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,21,12,20,13,1,44.0,10,1,1
220,MONDO_0005148,direct_only,ENSG00000087448,KLHL42,kelch like family member 42,0.4807625277489806,,0.7868061001367265,,,,0.0802350444081137,0.5339216767788197,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5445549999999997,0.0,-1.0,-1.0,0.0,,,,,,,,220,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,2,2,2,2,1,19.30102999566398,1,1,1
221,MONDO_0005148,direct_only,ENSG00000134247,PTGFRN,prostaglandin F2 receptor inhibitor,0.4805220846348129,,0.7871631571380556,,,,0.065183691077246,-0.6286817429674573,,0.0,0.0,,0.0,0.0,0.0,,-0.0590170502395667,0.4994300000000002,0.0,0.0,-1.0,0.0,,,,,,,,221,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,12,3,12,9,1,37.69897000433602,2,1,1
222,MONDO_0005148,direct_only,ENSG00000091704,CPA1,carboxypeptidase A1,0.480064090634254,,0.787757540588413,,,,0.0382287149898107,0.3006067291781578,,1.0,0.0,,1.0,0.0,1.0,,-0.2343353229693243,0.0930799999999997,-0.05728,0.0,1.0,0.0,,,,,,,,222,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,type 2 diabetes mellitus,Tier_B_strong_positive_0.30_to_0.50,1,0,1,0,0,2,6,2,6,6,1,11.30102999566398,0,0,1
